Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-3, Run: 032, F, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0, 14, 164, 2351, 56, 56, 2351, 75, 46, 28, 82, 89, 164, 3976, 1995
INVAR-3, Run: 033, F, 0, 100, 0, 0, 0, 0, 0, 17, 457, 457, 0, 0, 18, 164, 2957, 70, 70, 2500, 73, 42, 31, 82, 91, 164, 3908, 1963
INVAR-3, Run: 034, F, 0, 104, 0, 0, 0, 0, 0, 113, 357, 357, 0, 0, 22, 164, 3008, 56, 56, 2651, 71, 41, 30, 82, 93, 164, 4062, 2042
INVAR-3, Run: 035, F, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0, 16, 164, 2837, 47, 47, 2837, 74, 50, 23, 82, 90, 164, 3916, 1966
INVAR-3, Run: 036, F, 0, 101, 0, 0, 0, 0, 0, 472, 0, 2, 1, 2, 20, 164, 2327, 54, 52, 2327, 72, 45, 26, 81, 92, 164, 3074, 1547
INVAR-3, Run: 037, F, 0, 108, 0, 0, 0, 0, 0, 466, 0, 0, 1, 0, 26, 164, 3097, 59, 59, 3097, 69, 34, 34, 82, 95, 164, 3334, 1680
INVAR-3, Run: 038, F, 0, 98, 2, 0, 0, 0, 0, 0, 478, 478, 0, 0, 16, 164, 3196, 63, 63, 2718, 74, 47, 27, 82, 89, 164, 3446, 1730
INVAR-3, Run: 039, F, 0, 96, 0, 0, 0, 0, 0, 193, 285, 285, 0, 0, 14, 164, 3575, 56, 56, 3290, 75, 44, 31, 82, 89, 164, 4060, 2037
INVAR-3, Run: 040, F, 0, 106, 0, 0, 0, 0, 0, 67, 401, 401, 0, 0, 24, 164, 3756, 50, 50, 3355, 70, 42, 28, 82, 94, 164, 3646, 1835
INVAR-3, Run: 041, F, 0, 100, 0, 0, 0, 0, 0, 234, 240, 240, 0, 0, 18, 164, 2811, 58, 58, 2571, 73, 46, 27, 82, 91, 164, 2930, 1474
INVAR-3, Run: 042, F, 0, 104, 0, 0, 0, 0, 0, 199, 271, 271, 0, 0, 22, 164, 2618, 50, 50, 2347, 71, 43, 28, 82, 93, 164, 6216, 3119
INVAR-3, Run: 043, F, 0, 100, 0, 0, 0, 0, 0, 474, 0, 0, 1, 0, 18, 164, 2544, 62, 62, 2544, 73, 35, 37, 82, 91, 164, 5220, 2619
INVAR-3, Run: 044, F, 0, 98, 0, 0, 0, 0, 0, 215, 261, 261, 0, 0, 16, 164, 2916, 43, 43, 2655, 74, 44, 30, 82, 90, 164, 3182, 1599
INVAR-3, Run: 045, F, 0, 92, 0, 0, 0, 0, 0, 482, 0, 0, 1, 0, 10, 164, 3785, 47, 47, 3785, 77, 59, 17, 82, 87, 164, 4202, 2106
INVAR-3, Run: 046, F, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0, 14, 164, 3116, 50, 50, 3116, 75, 57, 17, 82, 89, 164, 5706, 2860
INVAR-3, Run: 047, F, 0, 104, 0, 0, 0, 0, 0, 293, 177, 177, 0, 0, 22, 164, 3083, 54, 54, 2906, 71, 49, 22, 82, 93, 164, 4470, 2246
INVAR-3, Run: 048, F, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0, 14, 164, 2815, 64, 64, 2815, 75, 46, 28, 82, 89, 164, 3812, 1913
INVAR-3, Run: 049, F, 0, 102, 0, 0, 0, 0, 0, 472, 0, 0, 1, 0, 20, 164, 3946, 51, 51, 3946, 72, 43, 28, 82, 92, 164, 3668, 1844
INVAR-3, Run: 050, F, 0, 106, 0, 0, 0, 0, 0, 108, 360, 360, 0, 0, 24, 164, 3823, 60, 60, 3463, 70, 47, 23, 82, 94, 164, 4494, 2259
INVAR-3, Run: 051, F, 0, 101, 0, 0, 0, 0, 0, 472, 0, 2, 1, 2, 20, 164, 3301, 47, 45, 3301, 72, 51, 20, 81, 92, 164, 4526, 2273
INVAR-3, Run: 052, F, 0, 102, 0, 0, 0, 0, 0, 33, 439, 439, 0, 0, 20, 164, 3260, 68, 68, 2821, 72, 49, 23, 82, 92, 164, 4282, 2151
