Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 012, F, 470, 44756, 0, 0, 0, 0, 0, 130, 0, 1, 335, 0, 45226, 200, 3903, 74, 544, 3433, 100, 62, 37, 335, 100, 200, 3570, 1785
INVAR-10, Run: 013, F, 574, 54954, 0, 0, 0, 0, 0, 26, 0, 1, 387, 0, 55528, 200, 4057, 86, 660, 3483, 100, 67, 32, 387, 100, 200, 3972, 1986
INVAR-10, Run: 014, F, 556, 52946, 0, 0, 0, 0, 0, 44, 0, 1, 378, 0, 53502, 200, 4194, 83, 639, 3638, 100, 70, 29, 378, 100, 200, 3628, 1814
INVAR-10, Run: 015, F, 598, 56438, 0, 0, 0, 0, 0, 2, 0, 1, 399, 0, 57036, 200, 3464, 79, 677, 2866, 100, 58, 41, 399, 100, 200, 3830, 1915
INVAR-10, Run: 016, F, 524, 49820, 0, 0, 0, 0, 0, 76, 0, 1, 362, 0, 50344, 200, 2960, 80, 604, 2436, 100, 68, 31, 362, 100, 200, 4046, 2023
INVAR-10, Run: 017, F, 556, 52702, 0, 0, 0, 0, 0, 44, 0, 1, 378, 0, 53258, 200, 4066, 101, 657, 3510, 100, 62, 37, 378, 100, 200, 3656, 1828
INVAR-10, Run: 018, F, 474, 44809, 0, 0, 0, 0, 0, 126, 0, 1, 337, 0, 45283, 200, 3509, 80, 554, 3035, 100, 64, 35, 337, 100, 200, 3318, 1659
INVAR-10, Run: 019, F, 472, 45046, 0, 0, 0, 0, 0, 128, 0, 1, 336, 0, 45518, 200, 3341, 103, 575, 2869, 100, 52, 47, 336, 100, 200, 3450, 1725
INVAR-10, Run: 020, F, 596, 56793, 0, 0, 0, 0, 0, 4, 0, 1, 398, 0, 57389, 200, 3500, 83, 679, 2904, 100, 63, 36, 398, 100, 200, 3324, 1662
INVAR-10, Run: 021, F, 530, 50052, 0, 0, 0, 0, 0, 70, 0, 1, 365, 0, 50582, 200, 3812, 102, 632, 3282, 100, 65, 34, 365, 100, 200, 3862, 1931
INVAR-10, Run: 022, F, 592, 56402, 0, 0, 0, 0, 0, 8, 0, 1, 396, 0, 56994, 200, 3844, 81, 673, 3252, 100, 64, 35, 396, 100, 200, 3110, 1555
INVAR-10, Run: 023, F, 586, 55636, 0, 0, 0, 0, 0, 14, 0, 1, 393, 0, 56222, 200, 3410, 69, 655, 2824, 100, 61, 38, 393, 100, 200, 2986, 1493
INVAR-10, Run: 024, F, 500, 47003, 0, 0, 0, 0, 0, 100, 0, 1, 350, 0, 47503, 200, 3132, 96, 596, 2632, 100, 59, 40, 350, 100, 200, 3704, 1852
INVAR-10, Run: 025, F, 584, 55693, 0, 0, 0, 0, 0, 16, 0, 1, 392, 0, 56277, 200, 3818, 105, 689, 3234, 100, 58, 41, 392, 100, 200, 4000, 2000
INVAR-10, Run: 026, F, 588, 55920, 0, 0, 0, 0, 0, 12, 0, 1, 394, 0, 56508, 200, 3896, 89, 677, 3308, 100, 67, 32, 394, 100, 200, 3578, 1789
INVAR-10, Run: 027, F, 542, 51541, 0, 0, 0, 0, 0, 58, 0, 1, 371, 0, 52083, 200, 3651, 93, 635, 3109, 100, 63, 36, 371, 100, 200, 3496, 1748
