Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 074, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 16, 63, 7, 8, 2, 11, 18, 27, 27, 63
INVAR-1, Run: 075, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 7, 32, 7, 7, 3, 11, 18, 27, 18, 32
INVAR-1, Run: 076, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 9, 59, 7, 5, 5, 11, 18, 27, 20, 59
INVAR-1, Run: 077, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 41, 124, 7, 4, 6, 11, 18, 27, 52, 124
INVAR-1, Run: 078, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 24, 153, 7, 7, 3, 11, 18, 27, 35, 153
INVAR-1, Run: 079, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 39, 213, 6, 8, 3, 12, 18, 27, 51, 213
INVAR-1, Run: 080, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 20, 49, 7, 7, 3, 11, 18, 27, 31, 49
INVAR-1, Run: 081, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 22, 144, 7, 8, 2, 11, 18, 27, 33, 144
INVAR-1, Run: 082, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 39, 188, 7, 5, 5, 11, 18, 27, 50, 188
INVAR-1, Run: 083, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 33, 88, 6, 5, 6, 12, 18, 27, 45, 88
INVAR-1, Run: 084, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 32, 105, 6, 7, 4, 12, 18, 27, 44, 105
INVAR-1, Run: 085, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 48, 124, 5, 3, 9, 13, 18, 27, 61, 124
INVAR-1, Run: 086, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 23, 99, 7, 6, 4, 11, 18, 27, 34, 99
INVAR-1, Run: 087, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 25, 55, 7, 4, 6, 11, 18, 27, 36, 55
INVAR-1, Run: 088, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 36, 186, 7, 7, 3, 11, 18, 27, 47, 186
INVAR-1, Run: 089, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 29, 72, 8, 4, 5, 10, 18, 27, 39, 72
INVAR-1, Run: 090, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 41, 124, 7, 6, 4, 11, 18, 27, 52, 124
INVAR-1, Run: 091, P, 0, 0, 1, 0, 0, 10, 10, 0, 0, 54, 0, 2, 18, 12, 81, 8, 3, 6, 10, 18, 27, 22, 81
INVAR-1, Run: 092, P, 0, 0, 1, 0, 0, 11, 11, 0, 0, 54, 0, 4, 18, 30, 84, 7, 6, 4, 11, 18, 27, 41, 84
INVAR-1, Run: 093, P, 0, 0, 1, 0, 0, 12, 12, 0, 0, 54, 0, 6, 18, 47, 193, 6, 7, 4, 12, 18, 27, 59, 193
INVAR-1, Run: 094, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 22, 41, 5, 4, 8, 13, 18, 27, 35, 41
INVAR-1, Run: 095, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 26, 49, 5, 1, 11, 13, 18, 27, 39, 49
INVAR-1, Run: 096, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 19, 54, 5, 8, 4, 13, 18, 27, 32, 54
INVAR-1, Run: 097, P, 0, 0, 1, 0, 0, 13, 13, 0, 0, 54, 0, 8, 18, 36, 84, 5, 7, 5, 13, 18, 27, 49, 84
