Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 070, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 35, 9, 5, 3, 9, 9, 13, 18, 35
INVAR-1, Run: 071, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 4, 2, 9, 6, 2, 9, 9, 13, 13, 2
INVAR-1, Run: 072, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 4, 0, 9, 4, 4, 9, 9, 13, 13, 0
INVAR-1, Run: 073, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 6, 25, 9, 5, 3, 9, 9, 13, 15, 25
INVAR-1, Run: 074, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 16, 9, 5, 3, 9, 9, 13, 21, 16
INVAR-1, Run: 075, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 18, 5, 9, 4, 4, 9, 9, 13, 27, 5
INVAR-1, Run: 076, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 9, 9, 3, 5, 9, 9, 13, 21, 9
INVAR-1, Run: 077, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 13, 27, 9, 4, 4, 9, 9, 13, 22, 27
INVAR-1, Run: 078, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 19, 9, 9, 6, 2, 9, 9, 13, 28, 9
INVAR-1, Run: 079, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 7, 9, 9, 8, 0, 9, 9, 13, 16, 9
INVAR-1, Run: 080, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 8, 9, 4, 4, 9, 9, 13, 19, 8
INVAR-1, Run: 081, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 18, 5, 9, 6, 2, 9, 9, 13, 27, 5
INVAR-1, Run: 082, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 6, 24, 9, 6, 2, 9, 9, 13, 15, 24
INVAR-1, Run: 083, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 28, 9, 4, 4, 9, 9, 13, 18, 28
INVAR-1, Run: 084, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 6, 8, 9, 6, 2, 9, 9, 13, 15, 8
INVAR-1, Run: 085, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 3, 4, 9, 8, 0, 9, 9, 13, 12, 4
INVAR-1, Run: 086, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 15, 15, 9, 6, 2, 9, 9, 13, 24, 15
INVAR-1, Run: 087, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 8, 22, 9, 5, 3, 9, 9, 13, 17, 22
INVAR-1, Run: 088, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 20, 9, 6, 2, 9, 9, 13, 21, 20
INVAR-1, Run: 089, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 11, 16, 9, 6, 2, 9, 9, 13, 20, 16
INVAR-1, Run: 090, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 9, 9, 3, 5, 9, 9, 13, 21, 9
INVAR-1, Run: 091, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 4, 12, 9, 6, 2, 9, 9, 13, 13, 12
INVAR-1, Run: 092, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 7, 13, 9, 8, 0, 9, 9, 13, 16, 13
INVAR-1, Run: 093, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 5, 6, 9, 4, 4, 9, 9, 13, 14, 6
INVAR-1, Run: 094, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 18, 9, 5, 3, 9, 9, 13, 19, 18
INVAR-1, Run: 095, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 12, 27, 9, 7, 1, 9, 9, 13, 21, 27
INVAR-1, Run: 096, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 4, 4, 9, 4, 4, 9, 9, 13, 13, 4
INVAR-1, Run: 097, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 2, 9, 6, 2, 9, 9, 13, 18, 2
INVAR-1, Run: 098, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 10, 15, 9, 6, 2, 9, 9, 13, 19, 15
INVAR-1, Run: 099, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 9, 8, 9, 5, 3, 9, 9, 13, 18, 8
INVAR-1, Run: 100, P, 0, 0, 18, 0, 0, 9, 0, 0, 1, 28, 1, 18, 5, 25, 9, 5, 3, 9, 9, 13, 14, 25
INVAR-10, Run: 001, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 727, 482, 100, 65, 34, 100, 100, 150, 827, 482
INVAR-10, Run: 002, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 790, 473, 100, 51, 48, 100, 100, 150, 890, 473
INVAR-10, Run: 003, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 583, 283, 100, 66, 33, 100, 100, 150, 683, 283
INVAR-10, Run: 004, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 780, 336, 100, 54, 45, 100, 100, 150, 880, 336
INVAR-10, Run: 005, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 770, 332, 100, 58, 41, 100, 100, 150, 870, 332
INVAR-10, Run: 006, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 722, 534, 100, 66, 33, 100, 100, 150, 822, 534
INVAR-10, Run: 007, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 679, 447, 100, 62, 37, 100, 100, 150, 779, 447
INVAR-10, Run: 008, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 719, 210, 100, 72, 27, 100, 100, 150, 819, 210
INVAR-10, Run: 009, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 779, 800, 100, 72, 27, 100, 100, 150, 879, 800
INVAR-10, Run: 010, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 710, 252, 100, 64, 35, 100, 100, 150, 810, 252
INVAR-10, Run: 011, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 667, 290, 100, 58, 41, 100, 100, 150, 767, 290
INVAR-10, Run: 012, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 832, 427, 100, 56, 43, 100, 100, 150, 932, 427
