Input Number, Run_Number, Result@ 1000, A, B, H, C, L5, T2, T5, L4, L1, Y, T1, T3, T4, T6, R, U, L2, D, L3
INVAR-1, Run: 033, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 76, 2, 0, 1, 2, 1, 6, 0, 91, 0
INVAR-1, Run: 034, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 65, 0, 1, 3, 3, 1, 6, 0, 111, 0
INVAR-1, Run: 035, P, 0, 10, 0, 0, 0, 3, 1, 0, 0, 70, 1, 2, 2, 0, 1, 6, 0, 101, 0
INVAR-1, Run: 036, P, 0, 10, 0, 0, 0, 1, 3, 0, 0, 77, 0, 3, 0, 1, 1, 6, 0, 88, 0
INVAR-1, Run: 037, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 73, 2, 3, 2, 0, 1, 6, 0, 96, 0
INVAR-1, Run: 038, P, 0, 10, 0, 0, 0, 3, 3, 0, 0, 74, 2, 2, 0, 2, 1, 6, 0, 90, 0
INVAR-1, Run: 039, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 76, 5, 1, 0, 0, 1, 6, 0, 90, 0
INVAR-1, Run: 040, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 79, 2, 1, 1, 0, 1, 6, 0, 87, 0
INVAR-1, Run: 041, P, 0, 10, 0, 0, 0, 2, 1, 0, 0, 65, 1, 0, 3, 0, 1, 6, 0, 113, 0
INVAR-1, Run: 042, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 77, 2, 2, 0, 0, 1, 6, 0, 91, 0
INVAR-1, Run: 043, P, 0, 10, 0, 0, 0, 2, 2, 0, 0, 64, 3, 2, 1, 1, 1, 6, 0, 111, 0
INVAR-1, Run: 044, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 78, 0, 2, 3, 2, 1, 6, 0, 85, 0
INVAR-1, Run: 045, P, 0, 10, 0, 0, 0, 3, 0, 0, 0, 75, 0, 3, 0, 1, 1, 6, 0, 93, 0
INVAR-1, Run: 046, P, 0, 10, 0, 0, 0, 3, 0, 0, 0, 82, 1, 0, 1, 2, 1, 6, 0, 79, 0
INVAR-1, Run: 047, P, 0, 0, 0, 10, 0, 1, 0, 0, 0, 83, 1, 1, 0, 0, 1, 6, 0, 81, 0
INVAR-1, Run: 048, P, 0, 10, 0, 0, 0, 2, 2, 0, 0, 81, 2, 1, 0, 0, 1, 6, 0, 81, 0
INVAR-1, Run: 049, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 63, 0, 3, 2, 1, 1, 6, 0, 116, 0
INVAR-1, Run: 050, P, 0, 10, 0, 0, 0, 4, 2, 0, 0, 71, 5, 2, 1, 3, 1, 6, 0, 91, 0
INVAR-1, Run: 051, P, 0, 10, 0, 0, 0, 2, 1, 0, 0, 82, 0, 0, 2, 1, 1, 6, 0, 80, 0
INVAR-1, Run: 052, P, 0, 10, 0, 0, 0, 4, 0, 0, 0, 66, 1, 1, 4, 0, 1, 6, 0, 108, 0
INVAR-1, Run: 053, P, 0, 10, 0, 0, 0, 3, 2, 0, 0, 73, 0, 0, 2, 1, 1, 6, 0, 96, 0
INVAR-1, Run: 054, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 76, 0, 1, 1, 0, 1, 6, 0, 94, 0
INVAR-1, Run: 055, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 67, 1, 2, 1, 1, 1, 6, 0, 109, 0
INVAR-1, Run: 056, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 83, 3, 1, 2, 0, 1, 6, 0, 77, 0
INVAR-1, Run: 057, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 76, 3, 0, 0, 1, 1, 6, 0, 92, 0
INVAR-1, Run: 058, P, 10, 0, 0, 0, 0, 0, 1, 0, 0, 88, 3, 1, 1, 3, 1, 6, 0, 65, 0
INVAR-1, Run: 059, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 81, 0, 0, 0, 3, 1, 6, 0, 83, 0
INVAR-1, Run: 060, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 81, 1, 0, 1, 0, 1, 6, 0, 85, 0
INVAR-1, Run: 061, P, 10, 0, 0, 0, 0, 2, 1, 0, 0, 68, 3, 0, 2, 1, 1, 6, 0, 105, 0
INVAR-1, Run: 062, P, 10, 0, 0, 0, 0, 2, 1, 0, 0, 88, 1, 2, 0, 0, 1, 6, 0, 68, 0
INVAR-1, Run: 063, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 71, 1, 2, 1, 0, 1, 6, 0, 103, 0
INVAR-1, Run: 064, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 1, 1, 1, 1, 6, 0, 89, 0
INVAR-1, Run: 065, P, 0, 10, 0, 0, 0, 2, 1, 0, 0, 75, 1, 0, 0, 1, 1, 6, 0, 95, 0
INVAR-1, Run: 066, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 76, 1, 2, 2, 0, 1, 6, 0, 91, 0
INVAR-1, Run: 067, P, 0, 10, 0, 0, 0, 1, 2, 0, 0, 74, 1, 3, 1, 1, 1, 6, 0, 93, 0
INVAR-1, Run: 068, P, 0, 10, 0, 0, 0, 4, 2, 0, 0, 60, 1, 2, 5, 0, 1, 6, 0, 116, 0
INVAR-1, Run: 069, P, 0, 10, 0, 0, 0, 1, 2, 0, 0, 86, 1, 3, 1, 0, 1, 6, 0, 70, 0
INVAR-1, Run: 070, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 69, 3, 1, 1, 2, 1, 6, 0, 104, 0
INVAR-1, Run: 071, P, 0, 10, 0, 0, 0, 3, 0, 0, 0, 77, 1, 2, 0, 0, 1, 6, 0, 90, 0
INVAR-1, Run: 072, P, 0, 10, 0, 0, 0, 3, 1, 0, 0, 67, 2, 1, 0, 0, 1, 6, 0, 109, 0
INVAR-1, Run: 073, P, 0, 10, 0, 0, 0, 2, 4, 0, 0, 74, 3, 0, 1, 2, 1, 6, 0, 90, 0
INVAR-1, Run: 074, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 73, 2, 2, 3, 1, 1, 6, 0, 95, 0
INVAR-1, Run: 075, P, 0, 0, 0, 10, 0, 0, 1, 0, 0, 90, 1, 0, 0, 0, 1, 6, 0, 68, 0
INVAR-1, Run: 076, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 78, 2, 1, 2, 1, 1, 6, 0, 86, 0
INVAR-1, Run: 077, P, 10, 0, 0, 0, 0, 0, 2, 0, 0, 91, 1, 1, 0, 0, 1, 6, 0, 64, 0
INVAR-1, Run: 078, P, 0, 10, 0, 0, 0, 2, 1, 0, 0, 73, 1, 1, 2, 1, 1, 6, 0, 96, 0
INVAR-1, Run: 079, P, 0, 0, 0, 10, 0, 1, 0, 0, 0, 74, 3, 2, 1, 4, 1, 6, 0, 91, 0
