Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
INVAR-10, Run: 006, F, 42, 0, 0, 0, 1, 0, 1, 0, 945, 945, 0, 0
INVAR-10, Run: 007, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 008, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 009, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 010, F, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
INVAR-10, Run: 011, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 012, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 013, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 014, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 015, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 016, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 017, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 018, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 019, F, 34, 0, 0, 0, 1, 0, 1, 0, 993, 993, 0, 0
INVAR-10, Run: 020, F, 45, 0, 0, 0, 1, 0, 1, 0, 927, 927, 0, 0
INVAR-10, Run: 021, F, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0
INVAR-10, Run: 022, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 023, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 024, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 025, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 026, F, 40, 0, 0, 0, 1, 0, 1, 0, 957, 957, 0, 0
INVAR-10, Run: 027, F, 32, 0, 0, 0, 1, 0, 1, 0, 1005, 1005, 0, 0
INVAR-10, Run: 028, F, 39, 0, 0, 0, 1, 0, 1, 0, 963, 963, 0, 0
INVAR-10, Run: 029, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 030, F, 41, 0, 0, 0, 1, 0, 1, 0, 951, 951, 0, 0
INVAR-10, Run: 031, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 032, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 033, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
INVAR-10, Run: 034, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 035, F, 40, 0, 1, 0, 1, 0, 1, 0, 958, 958, 0, 1
INVAR-10, Run: 036, F, 37, 0, 0, 0, 1, 0, 1, 0, 975, 975, 0, 0
INVAR-10, Run: 037, F, 36, 0, 0, 0, 1, 0, 1, 0, 981, 981, 0, 0
INVAR-10, Run: 038, F, 33, 0, 0, 0, 1, 0, 1, 0, 999, 999, 0, 0
INVAR-10, Run: 039, F, 38, 0, 0, 0, 1, 0, 1, 0, 969, 969, 0, 0
