Input Number, Run_Number, Result@ 100, predator_g532, prey_Q2a, H1, prey_Q1b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_H2, prey_H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 025, P, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 4, 2, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 0, 0, 0, 0, 1, 108, 0, 2, 1, 1, 113, 109, 97, 95, 47, 7, 107, 7, 0, 25, 34, 42, 67, 14, 14, 24, 88, 89, 100, 99, 103, 103, 79, 80, 96, 56, 71, 14, 89, 14, 37, 21, 39, 22, 21, 34, 34, 91, 49, 2, 0, 0
INVAR-1, Run: 026, P, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 108, 0, 2, 3, 3, 108, 108, 99, 99, 74, 34, 107, 33, 0, 40, 25, 35, 86, 20, 20, 22, 108, 99, 89, 89, 85, 84, 40, 40, 69, 46, 52, 24, 97, 24, 26, 34, 22, 34, 35, 26, 26, 123, 88, 2, 0, 0
INVAR-1, Run: 027, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 1, 0, 0, 0, 0, 1, 124, 0, 5, 7, 7, 105, 105, 116, 112, 55, 13, 124, 13, 0, 29, 22, 41, 80, 21, 21, 25, 105, 121, 107, 104, 103, 103, 85, 84, 85, 51, 42, 33, 120, 32, 20, 26, 33, 26, 27, 22, 22, 112, 71, 5, 0, 0
INVAR-1, Run: 028, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 3, 1, 0, 3, 1, 0, 0, 0, 0, 1, 95, 0, 10, 4, 4, 83, 82, 86, 84, 79, 20, 94, 20, 2, 44, 27, 27, 74, 33, 33, 35, 106, 101, 100, 97, 96, 96, 119, 119, 104, 59, 54, 25, 100, 24, 27, 35, 44, 35, 36, 27, 27, 98, 71, 10, 0, 0
INVAR-1, Run: 029, P, 0, 0, 1, 0, 1, 4, 0, 0, 0, 1, 1, 1, 2, 0, 0, 4, 0, 0, 2, 0, 1, 2, 1, 0, 0, 0, 0, 1, 102, 0, 0, 0, 0, 94, 93, 87, 86, 60, 23, 98, 23, 0, 31, 20, 18, 97, 12, 11, 17, 112, 103, 91, 89, 89, 89, 82, 82, 80, 46, 37, 14, 99, 13, 17, 28, 33, 29, 29, 20, 20, 77, 57, 0, 0, 0
INVAR-1, Run: 030, P, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 4, 0, 0, 2, 1, 1, 2, 0, 0, 1, 101, 0, 8, 9, 9, 77, 77, 70, 68, 66, 16, 101, 16, 2, 32, 24, 30, 97, 17, 17, 11, 104, 96, 114, 112, 107, 106, 89, 90, 100, 62, 59, 23, 96, 23, 33, 34, 35, 34, 34, 24, 24, 103, 71, 8, 0, 0
INVAR-1, Run: 031, P, 0, 2, 0, 1, 1, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 104, 0, 8, 13, 13, 95, 93, 73, 73, 76, 37, 102, 37, 0, 39, 32, 33, 71, 22, 21, 26, 96, 119, 104, 103, 87, 87, 92, 91, 108, 61, 65, 34, 119, 33, 32, 37, 44, 37, 38, 32, 32, 99, 65, 8, 0, 0
INVAR-1, Run: 032, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 123, 0, 2, 0, 0, 107, 106, 115, 115, 68, 35, 123, 35, 0, 37, 19, 50, 65, 34, 33, 36, 100, 137, 110, 109, 108, 107, 89, 88, 82, 44, 49, 23, 137, 22, 30, 31, 37, 31, 32, 19, 19, 125, 74, 2, 0, 0
INVAR-1, Run: 033, P, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 122, 0, 4, 2, 2, 95, 95, 111, 107, 73, 40, 120, 39, 4, 34, 21, 42, 91, 19, 19, 19, 109, 103, 125, 125, 104, 103, 94, 94, 84, 41, 47, 36, 100, 35, 25, 38, 42, 39, 40, 22, 22, 103, 60, 4, 0, 0
INVAR-1, Run: 034, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 95, 0, 1, 1, 1, 108, 106, 124, 121, 72, 5, 95, 5, 0, 37, 18, 28, 109, 16, 16, 12, 121, 118, 125, 125, 98, 98, 73, 73, 91, 41, 33, 22, 118, 22, 15, 36, 49, 35, 36, 18, 18, 103, 75, 1, 0, 0
INVAR-1, Run: 035, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 98, 0, 3, 1, 1, 91, 91, 75, 72, 80, 23, 98, 23, 0, 40, 28, 43, 77, 18, 18, 11, 88, 88, 75, 74, 109, 108, 109, 109, 118, 65, 62, 26, 88, 26, 34, 41, 52, 40, 41, 28, 28, 109, 66, 3, 0, 0
