Input Number, Run_Number, Result@ 100, X2, Y
In32, Run: 081, E, 50, 0
In32, Run: 082, E, 50, 0
In32, Run: 083, E, 50, 0
In32, Run: 084, E, 50, 0
In32, Run: 085, E, 50, 0
In32, Run: 086, E, 50, 0
In32, Run: 087, E, 50, 0
In32, Run: 088, E, 50, 0
In32, Run: 089, E, 50, 0
In32, Run: 090, E, 50, 0
In32, Run: 091, E, 50, 0
In32, Run: 092, E, 50, 0
In32, Run: 093, E, 50, 0
In32, Run: 094, E, 50, 0
In32, Run: 095, E, 50, 0
In32, Run: 096, E, 50, 0
In32, Run: 097, E, 50, 0
In32, Run: 098, E, 50, 0
In32, Run: 099, E, 50, 0
In32, Run: 100, E, 50, 0
In33, Run: 001, E, 100, 0
In33, Run: 002, E, 100, 0
In33, Run: 003, E, 100, 0
In33, Run: 004, E, 100, 0
In33, Run: 005, E, 100, 0
In33, Run: 006, E, 100, 0
In33, Run: 007, E, 100, 0
In33, Run: 008, E, 100, 0
In33, Run: 009, E, 100, 0
In33, Run: 010, E, 100, 0
In33, Run: 011, E, 100, 0
In33, Run: 012, E, 100, 0
In33, Run: 013, E, 100, 0
In33, Run: 014, E, 100, 0
In33, Run: 015, E, 100, 0
In33, Run: 016, E, 100, 0
In33, Run: 017, E, 100, 0
In33, Run: 018, E, 100, 0
In33, Run: 019, E, 100, 0
In33, Run: 020, E, 100, 0
In33, Run: 021, E, 100, 0
In33, Run: 022, E, 100, 0
In33, Run: 023, E, 100, 0
In33, Run: 024, E, 100, 0
In33, Run: 025, E, 100, 0
In33, Run: 026, E, 100, 0
In33, Run: 027, E, 100, 0
In33, Run: 028, E, 100, 0
In33, Run: 029, E, 100, 0
In33, Run: 030, E, 100, 0
In33, Run: 031, E, 100, 0
In33, Run: 032, E, 100, 0
In33, Run: 033, E, 100, 0
In33, Run: 034, E, 100, 0
In33, Run: 035, E, 100, 0
In33, Run: 036, E, 100, 0
In33, Run: 037, E, 100, 0
In33, Run: 038, E, 100, 0
In33, Run: 039, E, 100, 0
In33, Run: 040, E, 100, 0
In33, Run: 041, E, 100, 0
In33, Run: 042, E, 100, 0
In33, Run: 043, E, 100, 0
In33, Run: 044, E, 100, 0
In33, Run: 045, E, 100, 0
In33, Run: 046, E, 100, 0
In33, Run: 047, E, 100, 0
In33, Run: 048, E, 100, 0
In33, Run: 049, E, 100, 0
In33, Run: 050, E, 100, 0
In33, Run: 051, E, 100, 0
In33, Run: 052, E, 100, 0
In33, Run: 053, E, 100, 0
In33, Run: 054, E, 100, 0
In33, Run: 055, E, 100, 0
In33, Run: 056, E, 100, 0
In33, Run: 057, E, 100, 0
In33, Run: 058, E, 100, 0
In33, Run: 059, E, 100, 0
In33, Run: 060, E, 100, 0
In33, Run: 061, E, 100, 0
In33, Run: 062, E, 100, 0
In33, Run: 063, E, 100, 0
In33, Run: 064, E, 100, 0
In33, Run: 065, E, 100, 0
In33, Run: 066, E, 100, 0
In33, Run: 067, E, 100, 0
In33, Run: 068, E, 100, 0
In33, Run: 069, E, 100, 0
In33, Run: 070, E, 100, 0
In33, Run: 071, E, 100, 0
In33, Run: 072, E, 100, 0
In33, Run: 073, E, 100, 0
In33, Run: 074, E, 100, 0
In33, Run: 075, E, 100, 0
In33, Run: 076, E, 100, 0
In33, Run: 077, E, 100, 0
In33, Run: 078, E, 100, 0
In33, Run: 079, E, 100, 0
In33, Run: 080, E, 100, 0
In33, Run: 081, E, 100, 0
In33, Run: 082, E, 100, 0
In33, Run: 083, E, 100, 0
In33, Run: 084, E, 100, 0
In33, Run: 085, E, 100, 0
In33, Run: 086, E, 100, 0
In33, Run: 087, E, 100, 0
In33, Run: 088, E, 100, 0
In33, Run: 089, E, 100, 0
In33, Run: 090, E, 100, 0
In33, Run: 091, E, 100, 0
In33, Run: 092, E, 100, 0
In33, Run: 093, E, 100, 0
In33, Run: 094, E, 100, 0
In33, Run: 095, E, 100, 0
In33, Run: 096, E, 100, 0
In33, Run: 097, E, 100, 0
In33, Run: 098, E, 100, 0
In33, Run: 099, E, 100, 0
In33, Run: 100, E, 100, 0
In34, Run: 001, E, 200, 0
In34, Run: 002, E, 200, 0
In34, Run: 003, E, 200, 0
In34, Run: 004, E, 200, 0
In34, Run: 005, E, 200, 0
In34, Run: 006, E, 200, 0
In34, Run: 007, E, 200, 0
In34, Run: 008, E, 200, 0
In34, Run: 009, E, 200, 0
In34, Run: 010, E, 200, 0
In34, Run: 011, E, 200, 0
In34, Run: 012, E, 200, 0
In34, Run: 013, E, 200, 0
In34, Run: 014, E, 200, 0
In34, Run: 015, E, 200, 0
In34, Run: 016, E, 200, 0
In34, Run: 017, E, 200, 0
In34, Run: 018, E, 200, 0
In34, Run: 019, E, 200, 0
In34, Run: 020, E, 200, 0
In34, Run: 021, E, 200, 0
In34, Run: 022, E, 200, 0
In34, Run: 023, E, 200, 0
In34, Run: 024, E, 200, 0
In34, Run: 025, E, 200, 0
In34, Run: 026, E, 200, 0
In34, Run: 027, E, 200, 0
In34, Run: 028, E, 200, 0
In34, Run: 029, E, 200, 0
In34, Run: 030, E, 200, 0
In34, Run: 031, E, 200, 0
In34, Run: 032, E, 200, 0
In34, Run: 033, E, 200, 0
In34, Run: 034, E, 200, 0
In34, Run: 035, E, 200, 0
In34, Run: 036, E, 200, 0
In34, Run: 037, E, 200, 0
In34, Run: 038, E, 200, 0
In34, Run: 039, E, 200, 0
In34, Run: 040, E, 200, 0
In34, Run: 041, E, 200, 0
In34, Run: 042, E, 200, 0
In34, Run: 043, E, 200, 0
In34, Run: 044, E, 200, 0
In34, Run: 045, E, 200, 0
In34, Run: 046, E, 200, 0
In34, Run: 047, E, 200, 0
In34, Run: 048, E, 200, 0
In34, Run: 049, E, 200, 0
In34, Run: 050, E, 200, 0
In34, Run: 051, E, 200, 0
In34, Run: 052, E, 200, 0
In34, Run: 053, E, 200, 0
In34, Run: 054, E, 200, 0
In34, Run: 055, E, 200, 0
In34, Run: 056, E, 200, 0
In34, Run: 057, E, 200, 0
In34, Run: 058, E, 200, 0
In34, Run: 059, E, 200, 0
In34, Run: 060, E, 200, 0
In34, Run: 061, E, 200, 0
In34, Run: 062, E, 200, 0
In34, Run: 063, E, 200, 0
In34, Run: 064, E, 200, 0
In34, Run: 065, E, 200, 0
In34, Run: 066, E, 200, 0
In34, Run: 067, E, 200, 0
In34, Run: 068, E, 200, 0
In34, Run: 069, E, 200, 0
In34, Run: 070, E, 200, 0
In34, Run: 071, E, 200, 0
In34, Run: 072, E, 200, 0
In34, Run: 073, E, 200, 0
In34, Run: 074, E, 200, 0
In34, Run: 075, E, 200, 0
In34, Run: 076, E, 200, 0
In34, Run: 077, E, 200, 0
In34, Run: 078, E, 200, 0
In34, Run: 079, E, 200, 0
In34, Run: 080, E, 200, 0
In34, Run: 081, E, 200, 0
In34, Run: 082, E, 200, 0
In34, Run: 083, E, 200, 0
In34, Run: 084, E, 200, 0
In34, Run: 085, E, 200, 0
In34, Run: 086, E, 200, 0
In34, Run: 087, E, 200, 0
In34, Run: 088, E, 200, 0
In34, Run: 089, E, 200, 0
In34, Run: 090, E, 200, 0
In34, Run: 091, E, 200, 0
In34, Run: 092, E, 200, 0
In34, Run: 093, E, 200, 0
In34, Run: 094, E, 200, 0
In34, Run: 095, E, 200, 0
In34, Run: 096, E, 200, 0
In34, Run: 097, E, 200, 0
In34, Run: 098, E, 200, 0
In34, Run: 099, E, 200, 0
In34, Run: 100, E, 200, 0
In35, Run: 001, E, 50, 0
In35, Run: 002, E, 50, 0
In35, Run: 003, E, 50, 0
In35, Run: 004, E, 50, 0
In35, Run: 005, E, 50, 0
In35, Run: 006, E, 50, 0
In35, Run: 007, E, 50, 0
In35, Run: 008, E, 50, 0
In35, Run: 009, E, 50, 0
In35, Run: 010, E, 50, 0
In35, Run: 011, E, 50, 0
In35, Run: 012, E, 50, 0
In35, Run: 013, E, 50, 0
In35, Run: 014, E, 50, 0
In35, Run: 015, E, 50, 0
In35, Run: 016, E, 50, 0
In35, Run: 017, E, 50, 0
In35, Run: 018, E, 50, 0
In35, Run: 019, E, 50, 0
In35, Run: 020, E, 50, 0
In35, Run: 021, E, 50, 0
In35, Run: 022, E, 50, 0
In35, Run: 023, E, 50, 0
In35, Run: 024, E, 50, 0
In35, Run: 025, E, 50, 0
In35, Run: 026, E, 50, 0
In35, Run: 027, E, 50, 0
In35, Run: 028, E, 50, 0
In35, Run: 029, E, 50, 0
In35, Run: 030, E, 50, 0
In35, Run: 031, E, 50, 0
In35, Run: 032, E, 50, 0
In35, Run: 033, E, 50, 0
In35, Run: 034, E, 50, 0
In35, Run: 035, E, 50, 0
In35, Run: 036, E, 50, 0
In35, Run: 037, E, 50, 0
In35, Run: 038, E, 50, 0
In35, Run: 039, E, 50, 0
In35, Run: 040, E, 50, 0
In35, Run: 041, E, 50, 0
In35, Run: 042, E, 50, 0
In35, Run: 043, E, 50, 0
In35, Run: 044, E, 50, 0
In35, Run: 045, E, 50, 0
In35, Run: 046, E, 50, 0
In35, Run: 047, E, 50, 0
In35, Run: 048, E, 50, 0
In35, Run: 049, E, 50, 0
In35, Run: 050, E, 50, 0
In35, Run: 051, E, 50, 0
In35, Run: 052, E, 50, 0
In35, Run: 053, E, 50, 0
In35, Run: 054, E, 50, 0
In35, Run: 055, E, 50, 0
In35, Run: 056, E, 50, 0
In35, Run: 057, E, 50, 0
In35, Run: 058, E, 50, 0
In35, Run: 059, E, 50, 0
In35, Run: 060, E, 50, 0
In35, Run: 061, E, 50, 0
In35, Run: 062, E, 50, 0
In35, Run: 063, E, 50, 0
In35, Run: 064, E, 50, 0
In35, Run: 065, E, 50, 0
In35, Run: 066, E, 50, 0
In35, Run: 067, E, 50, 0
In35, Run: 068, E, 50, 0
In35, Run: 069, E, 50, 0
In35, Run: 070, E, 50, 0
In35, Run: 071, E, 50, 0
In35, Run: 072, E, 50, 0
In35, Run: 073, E, 50, 0
In35, Run: 074, E, 50, 0
In35, Run: 075, E, 50, 0
In35, Run: 076, E, 50, 0
In35, Run: 077, E, 50, 0
In35, Run: 078, E, 50, 0
In35, Run: 079, E, 50, 0
In35, Run: 080, E, 50, 0
In35, Run: 081, E, 50, 0
In35, Run: 082, E, 50, 0
In35, Run: 083, E, 50, 0
In35, Run: 084, E, 50, 0
In35, Run: 085, E, 50, 0
In35, Run: 086, E, 50, 0
In35, Run: 087, E, 50, 0
In35, Run: 088, E, 50, 0
In35, Run: 089, E, 50, 0
In35, Run: 090, E, 50, 0
In35, Run: 091, E, 50, 0
In35, Run: 092, E, 50, 0
In35, Run: 093, E, 50, 0
In35, Run: 094, E, 50, 0
In35, Run: 095, E, 50, 0
In35, Run: 096, E, 50, 0
In35, Run: 097, E, 50, 0
In35, Run: 098, E, 50, 0
In35, Run: 099, E, 50, 0
In35, Run: 100, E, 50, 0
In36, Run: 001, E, 100, 0
In36, Run: 002, E, 100, 0
In36, Run: 003, E, 100, 0
In36, Run: 004, E, 100, 0
In36, Run: 005, E, 100, 0
In36, Run: 006, E, 100, 0
In36, Run: 007, E, 100, 0
In36, Run: 008, E, 100, 0
In36, Run: 009, E, 100, 0
In36, Run: 010, E, 100, 0
In36, Run: 011, E, 100, 0
In36, Run: 012, E, 100, 0
In36, Run: 013, E, 100, 0
In36, Run: 014, E, 100, 0
In36, Run: 015, E, 100, 0
In36, Run: 016, E, 100, 0
In36, Run: 017, E, 100, 0
In36, Run: 018, E, 100, 0
In36, Run: 019, E, 100, 0
In36, Run: 020, E, 100, 0
In36, Run: 021, E, 100, 0
In36, Run: 022, E, 100, 0
In36, Run: 023, E, 100, 0
In36, Run: 024, E, 100, 0
In36, Run: 025, E, 100, 0
In36, Run: 026, E, 100, 0
In36, Run: 027, E, 100, 0
In36, Run: 028, E, 100, 0
In36, Run: 029, E, 100, 0
In36, Run: 030, E, 100, 0
In36, Run: 031, E, 100, 0
In36, Run: 032, E, 100, 0
In36, Run: 033, E, 100, 0
In36, Run: 034, E, 100, 0
In36, Run: 035, E, 100, 0
In36, Run: 036, E, 100, 0
In36, Run: 037, E, 100, 0
In36, Run: 038, E, 100, 0
In36, Run: 039, E, 100, 0
In36, Run: 040, E, 100, 0
In36, Run: 041, E, 100, 0
In36, Run: 042, E, 100, 0
In36, Run: 043, E, 100, 0
In36, Run: 044, E, 100, 0
In36, Run: 045, E, 100, 0
In36, Run: 046, E, 100, 0
In36, Run: 047, E, 100, 0
In36, Run: 048, E, 100, 0
In36, Run: 049, E, 100, 0
In36, Run: 050, E, 100, 0
In36, Run: 051, E, 100, 0
In36, Run: 052, E, 100, 0
In36, Run: 053, E, 100, 0
In36, Run: 054, E, 100, 0
In36, Run: 055, E, 100, 0
In36, Run: 056, E, 100, 0
In36, Run: 057, E, 100, 0
In36, Run: 058, E, 100, 0
In36, Run: 059, E, 100, 0
In36, Run: 060, E, 100, 0
In36, Run: 061, E, 100, 0
In36, Run: 062, E, 100, 0
In36, Run: 063, E, 100, 0
In36, Run: 064, E, 100, 0
In36, Run: 065, E, 100, 0
In36, Run: 066, E, 100, 0
In36, Run: 067, E, 100, 0
In36, Run: 068, E, 100, 0
In36, Run: 069, E, 100, 0
In36, Run: 070, E, 100, 0
In36, Run: 071, E, 100, 0
In36, Run: 072, E, 100, 0
In36, Run: 073, E, 100, 0
In36, Run: 074, E, 100, 0
In36, Run: 075, E, 100, 0
In36, Run: 076, E, 100, 0
In36, Run: 077, E, 100, 0
In36, Run: 078, E, 100, 0
In36, Run: 079, E, 100, 0
In36, Run: 080, E, 100, 0
In36, Run: 081, E, 100, 0
In36, Run: 082, E, 100, 0
In36, Run: 083, E, 100, 0
In36, Run: 084, E, 100, 0
In36, Run: 085, E, 100, 0
In36, Run: 086, E, 100, 0
In36, Run: 087, E, 100, 0
In36, Run: 088, E, 100, 0
In36, Run: 089, E, 100, 0
In36, Run: 090, E, 100, 0
In36, Run: 091, E, 100, 0
In36, Run: 092, E, 100, 0
In36, Run: 093, E, 100, 0
In36, Run: 094, E, 100, 0
In36, Run: 095, E, 100, 0
In36, Run: 096, E, 100, 0
In36, Run: 097, E, 100, 0
In36, Run: 098, E, 100, 0
In36, Run: 099, E, 100, 0
In36, Run: 100, E, 100, 0
In37, Run: 001, E, 200, 0
In37, Run: 002, E, 200, 0
In37, Run: 003, E, 200, 0
In37, Run: 004, E, 200, 0
In37, Run: 005, E, 200, 0
In37, Run: 006, E, 200, 0
In37, Run: 007, E, 200, 0
In37, Run: 008, E, 200, 0
In37, Run: 009, E, 200, 0
In37, Run: 010, E, 200, 0
In37, Run: 011, E, 200, 0
In37, Run: 012, E, 200, 0
In37, Run: 013, E, 200, 0
In37, Run: 014, E, 200, 0
In37, Run: 015, E, 200, 0
In37, Run: 016, E, 200, 0
In37, Run: 017, E, 200, 0
