Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, R, U, L2, T6, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-2, Run: 081, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 92, 2, 12, 92, 64, 28, 39, 49512, 49020, 48545, 48071, 492, 1359, 475, 474, 48021, 0, 0, 0, 422, 231, 167, 139, 937, 191
INVAR-2, Run: 082, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 216, 226, 236, 216, 108, 41, 73, 49123, 48644, 48150, 47665, 479, 2290, 494, 484, 47616, 0, 0, 0, 601, 322, 214, 173, 1689, 279
INVAR-2, Run: 083, E, 0, 0, 0, 100, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 198, 208, 118, 198, 102, 40, 142, 49778, 49290, 48803, 48348, 488, 2211, 487, 455, 48299, 0, 0, 0, 634, 384, 282, 242, 1577, 250
INVAR-2, Run: 084, E, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 3, 47, 1, 6, 0, 0, 0, 0, 410, 420, 330, 410, 118, 74, 173, 49574, 49045, 48574, 48053, 529, 2795, 471, 518, 48006, 0, 0, 0, 756, 465, 347, 273, 2039, 291
INVAR-2, Run: 085, E, 0, 100, 0, 0, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 310, 220, 230, 310, 92, 39, 51, 49644, 49074, 48567, 48087, 570, 2685, 507, 480, 48038, 0, 0, 0, 595, 282, 190, 151, 2090, 313
INVAR-2, Run: 086, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 1, 0, 3, 46, 1, 6, 0, 0, 0, 0, 414, 424, 434, 414, 68, 29, 77, 49546, 49060, 48545, 48036, 485, 2248, 515, 506, 47990, 0, 0, 0, 488, 274, 206, 177, 1760, 214
INVAR-2, Run: 087, E, 100, 0, 0, 0, 0, 0, 0, 100, 1, 1, 1, 1, 46, 1, 6, 0, 0, 0, 0, 94, 104, 114, 94, 116, 61, 187, 49319, 48782, 48303, 47835, 536, 1944, 478, 467, 47789, 0, 0, 0, 727, 464, 348, 287, 1217, 263
INVAR-2, Run: 088, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 98, 108, 118, 98, 63, 33, 23, 49412, 48955, 48394, 47960, 457, 1552, 561, 434, 47910, 0, 0, 0, 424, 219, 156, 123, 1128, 205
INVAR-2, Run: 089, E, 100, 0, 0, 0, 0, 0, 0, 100, 2, 1, 0, 0, 47, 1, 6, 0, 0, 0, 0, 300, 310, 320, 300, 74, 19, 17, 49078, 48584, 48120, 47647, 493, 2286, 464, 473, 47600, 0, 0, 0, 452, 210, 136, 117, 1834, 242
INVAR-2, Run: 090, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 2, 0, 48, 1, 6, 0, 0, 0, 0, 198, 208, 218, 198, 113, 65, 123, 49123, 48624, 48148, 47681, 499, 2125, 474, 467, 47633, 0, 0, 0, 662, 401, 288, 223, 1463, 261
INVAR-2, Run: 091, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 417, 327, 337, 417, 62, 19, 10, 49653, 49194, 48741, 48278, 459, 2363, 453, 462, 48229, 0, 0, 0, 419, 191, 129, 110, 1944, 228
INVAR-2, Run: 092, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 315, 325, 335, 315, 97, 47, 60, 49281, 48743, 48211, 47743, 537, 2701, 532, 468, 47694, 0, 0, 0, 595, 304, 207, 160, 2106, 291
INVAR-2, Run: 093, E, 0, 100, 0, 0, 0, 0, 0, 100, 1, 1, 0, 0, 48, 1, 6, 0, 0, 0, 0, 293, 203, 213, 293, 83, 47, 87, 49433, 48929, 48464, 47969, 503, 2401, 465, 495, 47921, 0, 0, 0, 546, 317, 234, 187, 1855, 229
INVAR-2, Run: 094, E, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 202, 212, 122, 202, 66, 37, 84, 49534, 49052, 48565, 48075, 482, 1995, 487, 490, 48025, 0, 0, 0, 498, 287, 221, 184, 1497, 211
INVAR-2, Run: 095, E, 0, 100, 0, 0, 0, 0, 0, 100, 0, 1, 0, 1, 48, 1, 6, 0, 0, 0, 0, 94, 4, 14, 94, 94, 36, 61, 49214, 48691, 48160, 47699, 522, 1608, 531, 460, 47651, 0, 0, 0, 513, 291, 197, 161, 1095, 222
INVAR-2, Run: 096, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 91, 101, 111, 91, 56, 26, 27, 49581, 49127, 48620, 48130, 454, 1326, 507, 489, 48081, 0, 0, 0, 395, 209, 153, 127, 931, 186
INVAR-2, Run: 097, E, 0, 0, 0, 100, 0, 0, 0, 100, 1, 0, 0, 2, 47, 1, 6, 0, 0, 0, 0, 195, 205, 115, 195, 79, 34, 43, 48923, 48423, 47927, 47476, 500, 2134, 496, 449, 47429, 0, 0, 0, 531, 256, 177, 143, 1603, 275
INVAR-2, Run: 098, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 2, 1, 0, 47, 1, 6, 0, 0, 0, 0, 448, 458, 468, 448, 76, 42, 78, 49143, 48656, 48187, 47692, 485, 2511, 468, 495, 47645, 0, 0, 0, 565, 296, 220, 178, 1946, 269
INVAR-2, Run: 099, E, 0, 0, 0, 100, 0, 0, 0, 100, 1, 1, 2, 0, 46, 1, 6, 0, 0, 0, 0, 209, 219, 129, 209, 116, 61, 75, 49464, 48972, 48418, 47924, 491, 2271, 552, 494, 47878, 0, 0, 0, 664, 352, 236, 175, 1607, 312
INVAR-2, Run: 100, E, 100, 0, 0, 0, 0, 0, 0, 100, 0, 1, 2, 0, 47, 1, 6, 0, 0, 0, 0, 95, 105, 115, 95, 79, 28, 19, 48758, 48287, 47782, 47349, 470, 1613, 503, 433, 47302, 0, 0, 0, 443, 226, 147, 119, 1170, 217
INVAR-3, Run: 001, E, 0, 1000, 0, 0, 0, 0, 0, 100, 0, 1, 1, 1, 47, 1, 6, 0, 0, 0, 0, 4020, 3120, 3220, 4020, 116, 72, 91, 49051, 48532, 48053, 47578, 518, 4225, 478, 474, 47531, 0, 0, 0, 702, 379, 263, 191, 3523, 323
INVAR-3, Run: 002, E, 0, 0, 0, 1000, 0, 0, 0, 100, 1, 0, 0, 0, 49, 1, 6, 0, 0, 0, 0, 10212, 10312, 9412, 10212, 169, 62, 114, 49356, 48861, 48371, 47900, 495, 4776, 490, 471, 47851, 0, 0, 0, 807, 445, 276, 214, 3969, 362
INVAR-3, Run: 003, E, 1000, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 50, 1, 6, 0, 0, 0, 0, 14868, 14968, 15068, 14868, 76, 30, 51, 49216, 48688, 48196, 47718, 528, 4630, 492, 478, 47668, 0, 0, 0, 533, 257, 181, 151, 4097, 276
INVAR-3, Run: 004, E, 0, 0, 0, 1000, 0, 0, 0, 100, 0, 1, 0, 0, 49, 1, 6, 0, 0, 0, 0, 42113, 42213, 41313, 42113, 95, 56, 45, 49161, 48609, 48110, 47598, 551, 5619, 499, 512, 47549, 0, 0, 0, 621, 296, 201, 145, 4998, 325
