Input Number, Run_Number, Result@ 100, SetABab, ANuAPX1, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderag, Leaderah, ao, ar, X1uABab, an, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-12, Run: 091, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 3, 1, 1, 0, 1, 0, 0, 12, 2, 14, 3, 0, 1, 1, 2, 0, 13, 4, 16, 5, 1, 1, 0, 1, 0, 0, 7, 1, 8, 2, 1, 0, 0, 2, 0, 1, 0, 2, 1, 1, 2, 1, 0, 4, 0, 1, 6, 2, 1, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1
INVAR-12, Run: 092, P, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 12, 3, 0, 1, 0, 0, 0, 34, 8, 35, 9, 1, 1, 0, 0, 0, 0, 8, 0, 9, 1, 1, 0, 0, 0, 0, 8, 3, 9, 4, 1, 0, 0, 0, 15, 0, 2, 16, 3, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 7, 26, 8, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-12, Run: 093, P, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 0, 0, 20, 8, 22, 9, 0, 1, 2, 1, 0, 25, 10, 27, 11, 1, 1, 1, 1, 0, 0, 3, 2, 3, 2, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 9, 0, 6, 1, 1, 1, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-12, Run: 094, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 0, 3, 2, 0, 0, 1, 0, 0, 18, 8, 19, 9, 0, 1, 3, 0, 0, 1, 0, 2, 1, 1, 1, 0, 1, 0, 0, 2, 0, 3, 1, 1, 1, 0, 1, 0, 10, 0, 11, 1, 1, 2, 1, 0, 17, 0, 2, 19, 3, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 1, 0, 0, 2, 2, 3, 1, 3, 1
INVAR-12, Run: 095, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0, 0, 1, 0, 8, 2, 10, 3, 1, 1, 3, 0, 0, 38, 8, 39, 9, 1, 1, 0, 1, 0, 0, 9, 1, 10, 2, 1, 1, 0, 9, 0, 11, 2, 12, 3, 1, 3, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 14, 5, 14, 1, 6, 1
INVAR-12, Run: 096, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 3, 1, 0, 1, 1, 0, 0, 28, 7, 30, 9, 0, 1, 3, 0, 0, 9, 5, 10, 6, 1, 1, 0, 1, 0, 0, 28, 11, 29, 12, 1, 0, 1, 4, 0, 1, 1, 3, 2, 1, 3, 0, 0, 1, 2, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 2, 0, 0, 0, 0, 6, 1, 8, 1, 2, 1
INVAR-12, Run: 097, F, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 0, 0, 1, 0, 0, 5, 0, 6, 1, 0, 1, 3, 0, 0, 15, 4, 16, 5, 1, 1, 0, 1, 0, 0, 3, 1, 4, 2, 1, 1, 0, 4, 0, 10, 4, 11, 5, 1, 3, 0, 0, 1, 2, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 7, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 44, 12, 44, 1, 12, 0
INVAR-12, Run: 098, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 0, 1, 0, 0, 3, 0, 4, 1, 0, 1, 3, 0, 0, 3, 0, 4, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 0, 12, 1, 14, 2, 1, 2, 1, 0, 16, 0, 0, 18, 1, 1, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 1, 0, 0, 0, 0, 2, 1, 3, 1, 2, 1
INVAR-12, Run: 099, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 0, 1, 0, 0, 39, 10, 40, 11, 0, 1, 3, 0, 0, 27, 3, 28, 4, 1, 1, 0, 1, 0, 0, 11, 4, 12, 5, 1, 0, 1, 8, 0, 12, 5, 14, 6, 1, 1, 1, 1, 6, 2, 1, 9, 3, 1, 1, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 1, 0, 1, 0, 0, 19, 8, 20, 1, 9, 1
INVAR-12, Run: 100, F, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 3, 1, 4, 2, 1, 1, 0, 0, 0, 0, 7, 4, 8, 5, 1, 0, 0, 1, 0, 7, 2, 8, 3, 1, 0, 0, 0, 14, 0, 4, 15, 5, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 5, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 0, 1, 2, 0, 21, 4, 25, 5, 1, 1, 5, 1, 0, 30, 6, 32, 7, 1, 1, 0, 3, 0, 0, 18, 3, 18, 3, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 0, 2, 18, 10, 6, 20, 8, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 002, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 5, 3, 0, 0, 3, 0, 0, 6, 3, 7, 4, 1, 1, 6, 0, 0, 7, 0, 8, 1, 1, 1, 0, 3, 0, 0, 24, 4, 25, 5, 1, 0, 0, 22, 0, 8, 0, 9, 1, 1, 5, 1, 0, 2, 9, 4, 4, 5, 1, 1, 1, 0, 0, 2, 0, 24, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 10, 4, 2, 6, 3, 1, 1, 0, 0, 11, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 003, F, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 0, 1, 0, 0, 22, 10, 23, 11, 0, 1, 1, 2, 0, 5, 0, 8, 1, 1, 1, 0, 0, 1, 0, 12, 4, 14, 5, 1, 0, 0, 0, 1, 11, 2, 13, 4, 1, 3, 0, 0, 14, 0, 1, 15, 2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 0, 0, 15, 2, 16, 1, 4, 1
INVAR-13, Run: 004, F, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 5, 3, 0, 0, 1, 1, 0, 7, 1, 9, 2, 0, 1, 5, 0, 0, 5, 2, 6, 3, 1, 1, 0, 2, 0, 0, 11, 0, 12, 1, 1, 1, 0, 0, 0, 2, 0, 3, 1, 1, 5, 0, 0, 14, 0, 5, 15, 6, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 2, 0, 0, 29, 6, 29, 1, 7, 1
INVAR-13, Run: 005, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 6, 3, 0, 0, 2, 1, 0, 6, 1, 8, 2, 0, 1, 3, 3, 0, 9, 2, 13, 3, 1, 1, 0, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 8, 0, 26, 13, 27, 14, 1, 4, 2, 0, 15, 3, 4, 18, 5, 1, 1, 1, 0, 0, 2, 0, 9, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 6, 19, 7, 1, 1, 0, 0, 8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 006, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 5, 2, 1, 0, 3, 0, 0, 3, 1, 5, 2, 1, 1, 6, 0, 0, 11, 0, 12, 1, 1, 1, 0, 3, 0, 0, 4, 0, 5, 1, 1, 0, 0, 9, 0, 13, 4, 14, 5, 1, 4, 1, 0, 1, 6, 0, 3, 1, 1, 1, 1, 0, 0, 1, 0, 11, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 3, 1, 1, 2, 0, 0, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 007, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 6, 2, 1, 0, 3, 0, 0, 25, 11, 27, 12, 0, 1, 5, 1, 0, 4, 3, 6, 4, 1, 1, 0, 3, 0, 0, 1, 2, 2, 3, 1, 0, 0, 5, 0, 17, 4, 18, 5, 1, 5, 0, 0, 0, 2, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 2, 6, 3, 1, 2, 0, 0, 8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 6, 3, 0, 0, 3, 0, 0, 6, 0, 7, 1, 0, 1, 6, 0, 0, 4, 0, 5, 1, 1, 1, 0, 3, 0, 0, 17, 7, 18, 8, 1, 0, 0, 23, 0, 1, 0, 2, 1, 1, 5, 1, 0, 34, 3, 7, 36, 8, 1, 1, 1, 1, 1, 1, 0, 24, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 4, 8, 4, 10, 5, 0, 2, 0, 0, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 009, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 6, 2, 1, 0, 1, 2, 0, 25, 9, 29, 10, 0, 1, 6, 0, 0, 3, 1, 4, 2, 1, 1, 0, 3, 0, 0, 6, 2, 7, 3, 1, 0, 0, 11, 0, 14, 4, 15, 5, 1, 6, 0, 0, 3, 3, 1, 4, 2, 1, 1, 1, 0, 0, 2, 1, 12, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 2, 7, 3, 1, 0, 0, 0, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 010, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 5, 2, 1, 0, 3, 0, 0, 7, 2, 9, 3, 1, 1, 5, 1, 0, 12, 0, 14, 1, 1, 1, 0, 3, 0, 0, 1, 0, 2, 1, 1, 0, 0, 27, 0, 13, 5, 14, 6, 1, 6, 0, 0, 13, 3, 2, 14, 3, 1, 1, 1, 0, 0, 1, 0, 29, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 6, 1, 1, 1, 1, 0, 15, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 011, F, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 5, 3, 0, 0, 3, 0, 0, 11, 3, 12, 4, 0, 1, 5, 0, 0, 1, 0, 2, 1, 1, 1, 1, 2, 0, 0, 21, 3, 22, 4, 1, 1, 0, 39, 0, 2, 0, 3, 0, 0, 4, 1, 0, 8, 10, 2, 10, 3, 1, 1, 1, 0, 0, 2, 0, 41, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 3, 3, 4, 1, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0
INVAR-13, Run: 012, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 5, 3, 0, 0, 3, 0, 0, 6, 2, 7, 3, 1, 1, 4, 2, 0, 25, 7, 28, 8, 1, 1, 0, 3, 0, 0, 4, 1, 5, 2, 1, 0, 0, 8, 0, 9, 5, 10, 6, 1, 5, 1, 0, 14, 1, 2, 16, 3, 1, 1, 1, 0, 0, 1, 0, 10, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 3, 17, 4, 1, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 013, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 5, 2, 1, 0, 3, 0, 0, 4, 1, 6, 2, 1, 1, 5, 1, 0, 20, 2, 22, 3, 1, 1, 0, 2, 1, 0, 19, 6, 21, 7, 1, 0, 0, 6, 0, 17, 6, 18, 7, 1, 6, 0, 0, 17, 1, 2, 18, 3, 1, 1, 1, 0, 0, 3, 0, 8, 0, 9, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3, 2, 1, 0, 0, 0, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 014, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 5, 2, 1, 0, 3, 0, 0, 20, 0, 22, 1, 1, 1, 4, 2, 0, 26, 2, 29, 3, 1, 1, 0, 3, 0, 0, 7, 1, 8, 2, 1, 0, 0, 3, 0, 36, 3, 37, 4, 1, 6, 0, 0, 4, 0, 0, 5, 1, 1, 1, 1, 0, 0, 1, 0, 5, 0, 10, 1, 0, 0, 0, 0, 0, 0, 0, 1, 22, 3, 24, 4, 1, 2, 0, 0, 7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 015, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 6, 3, 0, 0, 2, 1, 0, 2, 0, 4, 1, 0, 1, 4, 2, 0, 6, 0, 9, 1, 1, 1, 0, 3, 0, 0, 38, 14, 39, 15, 1, 0, 0, 3, 0, 9, 2, 9, 2, 0, 6, 0, 0, 9, 3, 4, 10, 5, 1, 1, 1, 0, 0, 2, 1, 4, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 4, 11, 5, 1, 0, 0, 0, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 016, F, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 4, 2, 0, 0, 1, 1, 0, 34, 2, 36, 3, 0, 1, 3, 1, 0, 2, 1, 4, 2, 1, 1, 0, 2, 0, 0, 7, 2, 8, 3, 1, 0, 0, 1, 0, 66, 16, 67, 17, 1, 2, 2, 0, 25, 0, 7, 28, 8, 1, 1, 1, 0, 0, 2, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 3, 3, 1, 0, 0, 0, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 017, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 3, 2, 1, 0, 2, 1, 0, 13, 1, 16, 2, 3, 1, 6, 0, 0, 1, 0, 2, 1, 1, 1, 0, 3, 0, 0, 8, 0, 9, 1, 1, 0, 0, 5, 0, 1, 1, 2, 2, 1, 5, 1, 0, 10, 3, 3, 12, 4, 1, 1, 1, 1, 1, 3, 0, 9, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2, 4, 3, 1, 0, 0, 0, 9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 018, F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 6, 3, 0, 0, 3, 0, 0, 16, 4, 17, 5, 0, 1, 5, 1, 0, 15, 2, 17, 3, 1, 1, 0, 2, 1, 0, 29, 5, 31, 5, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 0, 0, 8, 9, 2, 9, 3, 1, 1, 1, 0, 0, 2, 0, 33, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 10, 1, 0, 4, 1, 1, 1, 0, 0, 6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-13, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 5, 3, 0, 0, 3, 0, 0, 2, 2, 3, 3, 1, 1, 6, 0, 0, 21, 1, 22, 2, 1, 1, 0, 3, 0, 0, 6, 3, 7, 4, 1, 0, 0, 11, 0, 8, 1, 9, 2, 1, 4, 1, 1, 11, 3, 4, 14, 6, 1, 1, 1, 1, 1, 2, 0, 13, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 5, 5, 1, 1, 0, 0, 10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
