Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B
1, Run: 097, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
1, Run: 098, F, 0, 6, 0, 0, 0, 4, 0, 0, 1, 88, 0
1, Run: 099, F, 0, 0, 0, 0, 0, 6, 0, 0, 1, 78, 0
1, Run: 100, F, 0, 0, 0, 0, 0, 7, 3, 0, 1, 70, 0
10, Run: 001, F, 0, 0, 0, 0, 0, 95, 85, 0, 1, 640, 0
10, Run: 002, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 003, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 004, F, 0, 0, 0, 0, 0, 94, 82, 0, 1, 648, 0
10, Run: 005, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 006, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 007, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 008, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 009, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 010, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 011, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 012, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 013, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 014, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 015, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 016, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 017, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 018, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 019, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 020, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 021, F, 0, 0, 0, 0, 0, 86, 58, 0, 1, 712, 0
10, Run: 022, F, 0, 0, 0, 0, 0, 85, 55, 0, 1, 720, 0
10, Run: 023, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 024, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 025, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 026, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 027, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 028, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 029, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 030, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 031, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 032, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 033, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 034, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0
10, Run: 035, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0
10, Run: 036, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0
10, Run: 037, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0
10, Run: 038, F, 0, 0, 0, 0, 0, 86, 58, 0, 1, 712, 0
10, Run: 039, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0
10, Run: 040, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 041, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 042, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0
10, Run: 043, F, 0, 0, 0, 0, 0, 87, 61, 0, 1, 704, 0
