Input Number, Run_Number, Result@ 100, U, X1, X2
INVAR-13, Run: 020, F, 0, 175, 0
INVAR-13, Run: 021, F, 0, 219, 0
INVAR-13, Run: 022, F, 0, 189, 0
INVAR-13, Run: 023, F, 0, 193, 0
INVAR-13, Run: 024, F, 0, 173, 0
INVAR-13, Run: 025, F, 0, 169, 0
INVAR-13, Run: 026, F, 0, 175, 0
INVAR-13, Run: 027, F, 0, 169, 0
INVAR-13, Run: 028, F, 0, 199, 0
INVAR-13, Run: 029, F, 0, 211, 0
INVAR-13, Run: 030, F, 0, 215, 0
INVAR-13, Run: 031, F, 0, 187, 0
INVAR-13, Run: 032, F, 0, 193, 0
INVAR-13, Run: 033, F, 0, 245, 0
INVAR-13, Run: 034, F, 0, 191, 0
INVAR-13, Run: 035, F, 0, 189, 0
INVAR-13, Run: 036, F, 0, 193, 0
INVAR-13, Run: 037, F, 0, 223, 0
INVAR-13, Run: 038, F, 0, 209, 0
INVAR-13, Run: 039, F, 0, 203, 0
INVAR-13, Run: 040, F, 0, 235, 0
INVAR-13, Run: 041, F, 0, 167, 0
INVAR-13, Run: 042, F, 0, 199, 0
INVAR-13, Run: 043, F, 0, 225, 0
INVAR-13, Run: 044, F, 0, 191, 0
INVAR-13, Run: 045, F, 0, 193, 0
INVAR-13, Run: 046, F, 0, 215, 0
INVAR-13, Run: 047, F, 0, 185, 0
INVAR-13, Run: 048, F, 0, 219, 0
INVAR-13, Run: 049, F, 0, 201, 0
INVAR-13, Run: 050, F, 0, 203, 0
INVAR-13, Run: 051, F, 0, 185, 0
INVAR-13, Run: 052, F, 0, 209, 0
INVAR-13, Run: 053, F, 0, 205, 0
INVAR-13, Run: 054, F, 0, 195, 0
INVAR-13, Run: 055, F, 0, 155, 0
INVAR-13, Run: 056, F, 0, 211, 0
INVAR-13, Run: 057, F, 0, 205, 0
INVAR-13, Run: 058, F, 0, 227, 0
INVAR-13, Run: 059, F, 0, 165, 0
INVAR-13, Run: 060, F, 0, 197, 0
INVAR-13, Run: 061, F, 0, 201, 0
INVAR-13, Run: 062, F, 0, 175, 0
INVAR-13, Run: 063, F, 0, 223, 0
INVAR-13, Run: 064, F, 0, 207, 0
INVAR-13, Run: 065, F, 0, 209, 0
INVAR-13, Run: 066, F, 0, 213, 0
INVAR-13, Run: 067, F, 0, 209, 0
INVAR-13, Run: 068, F, 0, 199, 0
INVAR-13, Run: 069, F, 0, 189, 0
INVAR-13, Run: 070, F, 0, 189, 0
INVAR-13, Run: 071, F, 0, 181, 0
INVAR-13, Run: 072, F, 0, 235, 0
INVAR-13, Run: 073, F, 0, 205, 0
INVAR-13, Run: 074, F, 0, 223, 0
INVAR-13, Run: 075, F, 0, 167, 0
INVAR-13, Run: 076, F, 0, 181, 0
INVAR-13, Run: 077, F, 0, 245, 0
INVAR-13, Run: 078, F, 0, 151, 0
INVAR-13, Run: 079, F, 0, 177, 0
INVAR-13, Run: 080, F, 0, 197, 0
INVAR-13, Run: 081, F, 0, 207, 0
INVAR-13, Run: 082, F, 0, 197, 0
INVAR-13, Run: 083, F, 0, 217, 0
INVAR-13, Run: 084, F, 0, 181, 0
INVAR-13, Run: 085, F, 0, 179, 0
INVAR-13, Run: 086, F, 0, 207, 0
INVAR-13, Run: 087, F, 0, 183, 0
INVAR-13, Run: 088, F, 0, 199, 0
INVAR-13, Run: 089, F, 0, 191, 0
INVAR-13, Run: 090, F, 0, 205, 0
INVAR-13, Run: 091, F, 0, 199, 0
INVAR-13, Run: 092, F, 0, 215, 0
INVAR-13, Run: 093, F, 0, 203, 0
INVAR-13, Run: 094, F, 0, 205, 0
INVAR-13, Run: 095, F, 0, 183, 0
INVAR-13, Run: 096, F, 0, 231, 0
INVAR-13, Run: 097, F, 0, 151, 0
INVAR-13, Run: 098, F, 0, 229, 0
INVAR-13, Run: 099, F, 0, 229, 0
INVAR-13, Run: 100, F, 0, 231, 0
INVAR-14, Run: 001, F, 0, 230, 0
INVAR-14, Run: 002, F, 0, 222, 0
INVAR-14, Run: 003, F, 0, 194, 0
INVAR-14, Run: 004, F, 0, 212, 0
