Input Number, Run_Number, Result@ 100, X2, Y, Reaction2
INVAR-22, Run: 037, E, 21, 0, 0
INVAR-22, Run: 038, E, 21, 0, 0
INVAR-22, Run: 039, E, 21, 0, 0
INVAR-22, Run: 040, E, 21, 0, 0
INVAR-22, Run: 041, E, 21, 0, 0
INVAR-22, Run: 042, E, 21, 0, 0
INVAR-22, Run: 043, E, 21, 0, 0
INVAR-22, Run: 044, E, 21, 0, 0
INVAR-22, Run: 045, E, 21, 0, 0
INVAR-22, Run: 046, E, 21, 0, 0
INVAR-22, Run: 047, E, 21, 0, 0
INVAR-22, Run: 048, E, 21, 0, 0
INVAR-22, Run: 049, E, 21, 0, 0
INVAR-22, Run: 050, E, 21, 0, 0
INVAR-22, Run: 051, E, 21, 0, 0
INVAR-22, Run: 052, E, 21, 0, 0
INVAR-22, Run: 053, E, 21, 0, 0
INVAR-22, Run: 054, E, 21, 0, 0
INVAR-22, Run: 055, E, 21, 0, 0
INVAR-22, Run: 056, E, 21, 0, 0
INVAR-22, Run: 057, E, 21, 0, 0
INVAR-22, Run: 058, E, 21, 0, 0
INVAR-22, Run: 059, E, 21, 0, 0
INVAR-22, Run: 060, E, 21, 0, 0
INVAR-22, Run: 061, E, 21, 0, 0
INVAR-22, Run: 062, E, 21, 0, 0
INVAR-22, Run: 063, E, 21, 0, 0
INVAR-22, Run: 064, E, 21, 0, 0
INVAR-22, Run: 065, E, 21, 0, 0
INVAR-22, Run: 066, E, 21, 0, 0
INVAR-22, Run: 067, E, 21, 0, 0
INVAR-22, Run: 068, E, 21, 0, 0
INVAR-22, Run: 069, E, 21, 0, 0
INVAR-22, Run: 070, E, 21, 0, 0
INVAR-22, Run: 071, E, 21, 0, 0
INVAR-22, Run: 072, E, 21, 0, 0
INVAR-22, Run: 073, E, 21, 0, 0
INVAR-22, Run: 074, E, 21, 0, 0
INVAR-22, Run: 075, E, 21, 0, 0
INVAR-22, Run: 076, E, 21, 0, 0
INVAR-22, Run: 077, E, 21, 0, 0
INVAR-22, Run: 078, E, 21, 0, 0
INVAR-22, Run: 079, E, 21, 0, 0
INVAR-22, Run: 080, E, 21, 0, 0
INVAR-22, Run: 081, E, 21, 0, 0
INVAR-22, Run: 082, E, 21, 0, 0
INVAR-22, Run: 083, E, 21, 0, 0
INVAR-22, Run: 084, E, 21, 0, 0
INVAR-22, Run: 085, E, 21, 0, 0
INVAR-22, Run: 086, E, 21, 0, 0
INVAR-22, Run: 087, E, 21, 0, 0
INVAR-22, Run: 088, E, 21, 0, 0
