Input Number, Run_Number, Result@ 100, E, PE, B, X1, A, C, PO, D, CO, Y, CE, F
2, Run: 020, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 021, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 022, P, 15, 0, 0, 0, 1, 0, 1, 0, 243, 243, 0, 0
2, Run: 023, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 024, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 025, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 026, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 027, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 028, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 029, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 030, P, 13, 0, 0, 0, 1, 0, 1, 0, 255, 255, 0, 0
2, Run: 031, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 032, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 033, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 034, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 035, P, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
2, Run: 036, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 037, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 038, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
2, Run: 039, P, 10, 0, 0, 0, 1, 0, 1, 0, 273, 273, 0, 0
2, Run: 040, P, 14, 0, 0, 0, 1, 0, 1, 0, 249, 249, 0, 0
2, Run: 041, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 042, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 043, P, 16, 0, 0, 0, 1, 0, 1, 0, 237, 237, 0, 0
2, Run: 044, P, 12, 0, 0, 0, 1, 0, 1, 0, 261, 261, 0, 0
2, Run: 045, P, 11, 0, 0, 0, 1, 0, 1, 0, 267, 267, 0, 0
