Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-12, Run: 011, P, 157, 15680, 0, 0, 0, 0, 5
INVAR-12, Run: 012, P, 157, 16041, 0, 0, 0, 0, 5
INVAR-12, Run: 013, P, 158, 16095, 0, 0, 0, 0, 5
INVAR-12, Run: 014, P, 157, 15931, 0, 0, 0, 0, 5
INVAR-12, Run: 015, P, 157, 15796, 0, 0, 0, 0, 5
INVAR-12, Run: 016, P, 157, 15819, 0, 0, 0, 0, 5
INVAR-12, Run: 017, P, 158, 16051, 0, 0, 0, 0, 5
INVAR-12, Run: 018, P, 157, 15888, 0, 0, 0, 0, 5
INVAR-12, Run: 019, P, 157, 15893, 0, 0, 0, 0, 5
INVAR-12, Run: 020, P, 157, 15767, 0, 0, 0, 0, 5
INVAR-12, Run: 021, P, 157, 15882, 0, 0, 0, 0, 5
INVAR-12, Run: 022, P, 158, 15970, 0, 0, 0, 0, 5
INVAR-12, Run: 023, P, 157, 15988, 0, 0, 0, 0, 5
INVAR-12, Run: 024, P, 157, 15972, 0, 0, 0, 0, 5
INVAR-12, Run: 025, P, 157, 15947, 0, 0, 0, 0, 5
INVAR-12, Run: 026, P, 157, 16089, 0, 0, 0, 0, 5
INVAR-12, Run: 027, P, 157, 15777, 0, 0, 0, 0, 5
INVAR-12, Run: 028, P, 157, 15816, 0, 0, 0, 0, 5
INVAR-12, Run: 029, P, 157, 16053, 0, 0, 0, 0, 5
INVAR-12, Run: 030, P, 157, 15797, 0, 0, 0, 0, 5
INVAR-12, Run: 031, P, 157, 15963, 0, 0, 0, 0, 5
INVAR-12, Run: 032, P, 157, 15859, 0, 0, 0, 0, 5
INVAR-12, Run: 033, P, 157, 15883, 0, 0, 0, 0, 5
INVAR-12, Run: 034, P, 157, 16008, 0, 0, 0, 0, 5
INVAR-12, Run: 035, P, 157, 15781, 0, 0, 0, 0, 5
INVAR-12, Run: 036, P, 157, 15947, 0, 0, 0, 0, 5
INVAR-12, Run: 037, P, 157, 15899, 0, 0, 0, 0, 5
INVAR-12, Run: 038, P, 157, 16021, 0, 0, 0, 0, 5
INVAR-12, Run: 039, P, 157, 15665, 0, 0, 0, 0, 5
INVAR-12, Run: 040, P, 157, 15939, 0, 0, 0, 0, 5
INVAR-12, Run: 041, P, 157, 15910, 0, 0, 0, 0, 5
INVAR-12, Run: 042, P, 157, 16019, 0, 0, 0, 0, 5
INVAR-12, Run: 043, P, 157, 15902, 0, 0, 0, 0, 5
INVAR-12, Run: 044, P, 157, 15847, 0, 0, 0, 0, 5
INVAR-12, Run: 045, P, 157, 15803, 0, 0, 0, 0, 5
INVAR-12, Run: 046, P, 157, 15805, 0, 0, 0, 0, 5
INVAR-12, Run: 047, P, 157, 15752, 0, 0, 0, 0, 5
INVAR-12, Run: 048, P, 157, 15772, 0, 0, 0, 0, 5
INVAR-12, Run: 049, P, 157, 15987, 0, 0, 0, 0, 5
INVAR-12, Run: 050, P, 157, 15759, 0, 0, 0, 0, 5
INVAR-12, Run: 051, P, 157, 15919, 0, 0, 0, 0, 5
INVAR-12, Run: 052, P, 157, 16048, 0, 0, 0, 0, 5
INVAR-12, Run: 053, P, 157, 15995, 0, 0, 0, 0, 5
INVAR-12, Run: 054, P, 157, 15835, 0, 0, 0, 0, 5
INVAR-12, Run: 055, P, 157, 15859, 0, 0, 0, 0, 5
INVAR-12, Run: 056, P, 157, 15814, 0, 0, 0, 0, 5
INVAR-12, Run: 057, P, 157, 15934, 0, 0, 0, 0, 5
INVAR-12, Run: 058, P, 157, 15876, 0, 0, 0, 0, 5
INVAR-12, Run: 059, P, 157, 15960, 0, 0, 0, 0, 5
INVAR-12, Run: 060, P, 157, 15949, 0, 0, 0, 0, 5
INVAR-12, Run: 061, P, 157, 15899, 0, 0, 0, 0, 5
INVAR-12, Run: 062, P, 157, 16045, 0, 0, 0, 0, 5
INVAR-12, Run: 063, P, 157, 15936, 0, 0, 0, 0, 5
INVAR-12, Run: 064, P, 157, 15968, 0, 0, 0, 0, 5
INVAR-12, Run: 065, P, 157, 15929, 0, 0, 0, 0, 5
INVAR-12, Run: 066, P, 157, 15835, 0, 0, 0, 0, 5
INVAR-12, Run: 067, P, 157, 15712, 0, 0, 0, 0, 5
INVAR-12, Run: 068, P, 157, 15763, 0, 0, 0, 0, 5
INVAR-12, Run: 069, P, 157, 16041, 0, 0, 0, 0, 5
INVAR-12, Run: 070, P, 157, 15894, 0, 0, 0, 0, 5
INVAR-12, Run: 071, P, 157, 16037, 0, 0, 0, 0, 5
INVAR-12, Run: 072, P, 157, 16024, 0, 0, 0, 0, 5
INVAR-12, Run: 073, P, 157, 15823, 0, 0, 0, 0, 5
