Input Number, Run_Number, Result@ 100, X1, X2, U, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-10, Run: 062, P, 12, 0, 0, 6, 10, 1, 4
INVAR-10, Run: 063, P, 0, 9, 3, 4, 3, 8, 2
INVAR-10, Run: 064, P, 12, 0, 0, 5, 6, 0, 1
INVAR-10, Run: 065, P, 0, 7, 5, 4, 0, 6, 1
INVAR-10, Run: 066, P, 12, 0, 0, 5, 7, 0, 2
INVAR-10, Run: 067, P, 0, 5, 7, 23, 37, 23, 21
INVAR-10, Run: 068, P, 0, 10, 2, 0, 0, 5, 2
INVAR-10, Run: 069, P, 0, 8, 4, 1, 0, 4, 3
INVAR-10, Run: 070, P, 12, 0, 0, 19, 39, 14, 20
INVAR-10, Run: 071, P, 0, 5, 7, 3, 1, 3, 5
INVAR-10, Run: 072, P, 0, 8, 4, 1, 0, 4, 3
INVAR-10, Run: 073, P, 0, 9, 3, 0, 0, 4, 3
INVAR-10, Run: 074, P, 12, 0, 0, 9, 17, 4, 8
INVAR-10, Run: 075, P, 0, 7, 5, 1, 0, 3, 4
INVAR-10, Run: 076, P, 0, 10, 2, 0, 0, 5, 2
INVAR-10, Run: 077, P, 0, 7, 5, 1, 0, 3, 4
INVAR-10, Run: 078, P, 0, 6, 6, 2, 0, 3, 4
INVAR-10, Run: 079, P, 0, 7, 5, 3, 5, 5, 7
INVAR-10, Run: 080, P, 0, 4, 8, 4, 1, 3, 5
INVAR-10, Run: 081, P, 12, 0, 0, 8, 15, 3, 7
INVAR-10, Run: 082, P, 0, 7, 5, 2, 1, 4, 4
INVAR-10, Run: 083, P, 0, 4, 8, 7, 4, 6, 5
INVAR-10, Run: 084, P, 0, 3, 9, 5, 1, 3, 5
INVAR-10, Run: 085, P, 0, 5, 7, 2, 1, 2, 6
INVAR-10, Run: 086, P, 12, 0, 0, 5, 6, 0, 1
INVAR-10, Run: 087, P, 0, 7, 5, 7, 9, 9, 7
INVAR-10, Run: 088, P, 12, 0, 0, 8, 11, 3, 3
INVAR-10, Run: 089, P, 0, 6, 6, 1, 0, 2, 5
INVAR-10, Run: 090, P, 12, 0, 0, 5, 6, 0, 1
INVAR-10, Run: 091, P, 0, 8, 4, 15, 23, 18, 12
INVAR-10, Run: 092, P, 0, 7, 5, 3, 3, 5, 5
INVAR-10, Run: 093, P, 12, 0, 0, 9, 13, 4, 4
INVAR-10, Run: 094, P, 0, 6, 6, 2, 1, 3, 5
INVAR-10, Run: 095, P, 0, 6, 6, 2, 1, 3, 5
INVAR-10, Run: 096, P, 0, 4, 8, 12, 16, 11, 12
INVAR-10, Run: 097, P, 12, 0, 0, 5, 11, 0, 6
INVAR-10, Run: 098, P, 0, 6, 6, 14, 30, 15, 22
INVAR-10, Run: 099, P, 12, 0, 0, 10, 21, 5, 11
INVAR-10, Run: 100, P, 12, 0, 0, 5, 9, 0, 4
INVAR-11, Run: 001, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 002, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 003, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 004, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 005, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 006, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 007, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 008, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 009, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 010, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 011, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 012, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 013, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 014, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 015, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 016, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 017, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 018, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 019, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 020, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 021, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 022, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 023, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 024, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 025, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 026, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 027, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 028, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 029, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 030, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 031, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 032, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 033, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 034, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 035, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 036, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 037, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 038, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 039, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 040, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 041, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 042, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 043, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 044, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 045, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 046, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 047, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 048, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 049, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 050, P, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 051, P, 13, 0, 0, 0, 0, 0, 0
