Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction8, Reaction9
INVAR-1, Run: 042, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 88, 124, 0, 0, 0, 0, 0, 0, 0, 630, 0, 0, 0, 0, 0, 0, 427, 312, 224, 203, 115
INVAR-1, Run: 043, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 112, 258, 0, 0, 0, 0, 0, 0, 0, 766, 0, 0, 0, 0, 0, 0, 590, 470, 358, 176, 120
INVAR-1, Run: 044, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 10, 1, 2, 10, 62, 96, 0, 0, 0, 0, 0, 0, 0, 509, 0, 0, 0, 0, 0, 0, 351, 258, 196, 158, 93
INVAR-1, Run: 045, E, 0, 0, 0, 10, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 8, 9, 0, 8, 52, 48, 0, 0, 0, 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 0, 264, 200, 148, 122, 64
INVAR-1, Run: 046, E, 10, 0, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 11, 12, 13, 11, 88, 111, 0, 0, 0, 0, 0, 0, 0, 776, 0, 0, 0, 0, 0, 0, 456, 299, 211, 320, 157
INVAR-1, Run: 047, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 18, 9, 10, 18, 91, 123, 0, 0, 0, 0, 0, 0, 0, 761, 0, 0, 0, 0, 0, 0, 472, 314, 223, 289, 158
INVAR-1, Run: 048, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 75, 107, 0, 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 0, 0, 370, 282, 207, 154, 88
INVAR-1, Run: 049, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 53, 95, 0, 0, 0, 0, 0, 0, 0, 465, 0, 0, 0, 0, 0, 0, 339, 248, 195, 126, 91
INVAR-1, Run: 050, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 114, 196, 0, 0, 0, 0, 0, 0, 0, 883, 0, 0, 0, 0, 0, 0, 586, 410, 296, 297, 176
INVAR-1, Run: 051, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 41, 64, 0, 0, 0, 0, 0, 0, 0, 366, 0, 0, 0, 0, 0, 0, 265, 205, 164, 101, 60
INVAR-1, Run: 052, E, 10, 0, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 7, 8, 9, 7, 57, 188, 0, 0, 0, 0, 0, 0, 0, 602, 0, 0, 0, 0, 0, 0, 451, 345, 288, 151, 106
INVAR-1, Run: 053, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 51, 81, 0, 0, 0, 0, 0, 0, 0, 460, 0, 0, 0, 0, 0, 0, 321, 232, 181, 139, 89
