Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
INVAR-10, Run: 036, P, 94, 0, 0, 0, 0, 0, 0, 0, 142, 100, 410
INVAR-10, Run: 037, P, 0, 1, 1, 0, 0, 0, 0, 100, 153, 0, 495
INVAR-10, Run: 038, P, 0, 1, 0, 0, 0, 0, 0, 100, 142, 0, 516
INVAR-10, Run: 039, P, 374, 0, 0, 0, 0, 0, 0, 0, 428, 100, 118
INVAR-10, Run: 040, P, 148, 0, 1, 0, 0, 0, 0, 1, 196, 99, 359
INVAR-10, Run: 041, P, 144, 0, 1, 0, 0, 0, 0, 1, 188, 99, 371
INVAR-10, Run: 042, P, 38, 0, 1, 0, 0, 0, 0, 0, 87, 100, 465
INVAR-10, Run: 043, P, 136, 0, 0, 0, 0, 0, 0, 0, 186, 100, 364
INVAR-10, Run: 044, P, 0, 1, 0, 0, 0, 0, 0, 100, 150, 0, 500
INVAR-10, Run: 045, P, 197, 0, 0, 0, 0, 0, 0, 0, 241, 100, 315
INVAR-10, Run: 046, P, 0, 1, 1, 0, 0, 0, 0, 100, 145, 0, 511
INVAR-10, Run: 047, P, 180, 0, 1, 0, 0, 0, 0, 0, 229, 100, 323
INVAR-10, Run: 048, P, 24, 0, 0, 0, 0, 0, 0, 0, 78, 100, 468
INVAR-10, Run: 049, P, 136, 0, 1, 0, 0, 0, 0, 2, 183, 98, 375
INVAR-10, Run: 050, P, 463, 0, 0, 0, 0, 0, 0, 0, 515, 100, 33
INVAR-10, Run: 051, P, 198, 0, 0, 0, 0, 0, 0, 0, 244, 100, 310
INVAR-10, Run: 052, P, 219, 0, 1, 0, 0, 0, 0, 0, 266, 100, 288
INVAR-10, Run: 053, P, 37, 0, 1, 0, 0, 0, 0, 1, 85, 99, 470
INVAR-10, Run: 054, P, 61, 0, 1, 0, 0, 0, 0, 3, 113, 97, 442
INVAR-10, Run: 055, P, 76, 0, 0, 0, 0, 0, 0, 0, 120, 100, 436
INVAR-10, Run: 056, P, 274, 0, 0, 0, 0, 0, 0, 0, 332, 100, 210
INVAR-10, Run: 057, P, 134, 0, 1, 0, 0, 0, 0, 0, 181, 100, 373
INVAR-10, Run: 058, P, 271, 0, 1, 0, 0, 0, 0, 0, 318, 100, 236
INVAR-10, Run: 059, P, 431, 0, 0, 0, 0, 0, 0, 0, 477, 100, 77
INVAR-10, Run: 060, P, 42, 0, 0, 0, 0, 0, 0, 2, 96, 98, 454
INVAR-10, Run: 061, P, 0, 1, 1, 0, 0, 0, 0, 100, 153, 0, 495
INVAR-10, Run: 062, P, 98, 0, 1, 0, 0, 0, 0, 3, 148, 97, 409
INVAR-10, Run: 063, P, 394, 0, 0, 0, 0, 0, 0, 0, 442, 100, 110
INVAR-10, Run: 064, P, 267, 0, 0, 0, 0, 0, 0, 0, 315, 100, 237
INVAR-10, Run: 065, P, 5, 0, 0, 0, 0, 0, 0, 5, 52, 95, 511
INVAR-10, Run: 066, P, 188, 0, 1, 0, 0, 0, 0, 0, 233, 100, 323
INVAR-10, Run: 067, P, 64, 0, 1, 0, 0, 0, 0, 1, 114, 99, 439
INVAR-10, Run: 068, P, 364, 0, 1, 0, 0, 0, 0, 0, 413, 100, 139
INVAR-10, Run: 069, P, 78, 0, 1, 0, 0, 0, 0, 3, 128, 97, 429
INVAR-10, Run: 070, P, 142, 0, 0, 0, 0, 0, 0, 0, 188, 100, 366
INVAR-10, Run: 071, P, 326, 0, 1, 0, 0, 0, 0, 0, 375, 100, 177
INVAR-10, Run: 072, P, 185, 0, 1, 0, 0, 0, 0, 1, 233, 99, 322
INVAR-10, Run: 073, P, 125, 0, 0, 0, 0, 0, 0, 0, 177, 100, 371
INVAR-10, Run: 074, P, 223, 0, 0, 0, 0, 0, 0, 0, 277, 100, 269
INVAR-10, Run: 075, P, 276, 0, 1, 0, 0, 0, 0, 1, 326, 99, 227
INVAR-10, Run: 076, P, 0, 1, 1, 0, 0, 0, 0, 100, 151, 0, 499
INVAR-10, Run: 077, P, 0, 1, 1, 0, 0, 0, 0, 100, 149, 0, 503
INVAR-10, Run: 078, P, 71, 0, 1, 0, 0, 0, 0, 1, 121, 99, 432
INVAR-10, Run: 079, P, 0, 1, 1, 0, 0, 0, 0, 100, 139, 0, 523
INVAR-10, Run: 080, P, 84, 0, 1, 0, 0, 0, 0, 1, 134, 99, 419
INVAR-10, Run: 081, P, 0, 1, 1, 0, 0, 0, 0, 100, 149, 0, 503
INVAR-10, Run: 082, P, 211, 0, 1, 0, 0, 0, 0, 0, 260, 100, 292
INVAR-10, Run: 083, P, 248, 0, 1, 0, 0, 0, 0, 0, 297, 100, 255
INVAR-10, Run: 084, P, 300, 0, 0, 0, 0, 0, 0, 0, 350, 100, 200
INVAR-10, Run: 085, P, 7, 0, 1, 0, 0, 0, 0, 1, 55, 99, 500
INVAR-10, Run: 086, P, 85, 0, 0, 0, 0, 0, 0, 0, 125, 100, 435
INVAR-10, Run: 087, P, 147, 0, 1, 0, 0, 0, 0, 0, 196, 100, 356
INVAR-10, Run: 088, P, 101, 0, 0, 0, 0, 0, 0, 0, 145, 100, 411
