Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g616, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 021, P, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 100, 1, 101, 113, 113, 86, 84, 86, 49, 81, 1, 99, 1, 37, 40, 3, 19, 94, 6, 6, 3, 94, 92, 127, 125, 20, 20, 22, 22, 24, 14, 14, 12, 92, 12, 11, 41, 10, 41, 41, 3, 3, 102, 83, 100, 1, 1
INVAR-1, Run: 022, P, 1, 1, 0, 1, 1, 1, 5, 0, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 97, 0, 93, 103, 102, 110, 105, 124, 72, 57, 1, 96, 1, 52, 30, 15, 31, 92, 5, 5, 7, 97, 126, 115, 113, 68, 68, 39, 39, 51, 34, 30, 12, 125, 12, 15, 26, 17, 26, 26, 15, 15, 104, 72, 94, 0, 0
INVAR-1, Run: 023, P, 1, 2, 0, 0, 0, 1, 3, 2, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75, 0, 92, 104, 104, 124, 121, 145, 78, 65, 1, 73, 1, 65, 36, 8, 27, 97, 14, 14, 8, 105, 61, 112, 112, 31, 31, 35, 35, 29, 19, 14, 15, 59, 15, 6, 29, 10, 29, 29, 8, 8, 84, 55, 92, 0, 0
INVAR-1, Run: 024, P, 1, 1, 0, 1, 3, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 100, 0, 93, 78, 75, 92, 90, 86, 53, 100, 1, 99, 1, 33, 52, 9, 18, 90, 9, 9, 2, 92, 110, 119, 119, 36, 36, 23, 23, 30, 20, 14, 10, 109, 10, 5, 47, 10, 48, 48, 9, 9, 107, 89, 94, 0, 0
INVAR-1, Run: 025, P, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 91, 0, 100, 73, 73, 98, 98, 80, 66, 77, 1, 90, 1, 14, 39, 1, 19, 106, 0, 0, 0, 104, 99, 95, 93, 5, 5, 3, 3, 5, 3, 3, 0, 98, 0, 2, 37, 2, 38, 37, 1, 1, 85, 66, 101, 0, 0
INVAR-1, Run: 026, P, 1, 1, 0, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 87, 0, 101, 115, 112, 85, 84, 76, 45, 61, 1, 86, 1, 31, 26, 2, 25, 81, 0, 0, 0, 80, 83, 77, 76, 14, 14, 20, 20, 11, 7, 6, 0, 83, 0, 4, 35, 4, 35, 35, 2, 2, 86, 61, 103, 0, 0
INVAR-1, Run: 027, P, 1, 4, 0, 0, 0, 1, 1, 0, 1, 0, 0, 3, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 106, 0, 97, 83, 83, 99, 98, 102, 74, 79, 1, 102, 1, 28, 41, 1, 38, 95, 3, 3, 0, 94, 119, 112, 111, 16, 16, 15, 15, 11, 7, 7, 3, 116, 3, 6, 38, 4, 38, 38, 1, 1, 99, 60, 97, 0, 0
INVAR-1, Run: 028, P, 1, 3, 0, 1, 3, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 106, 0, 97, 94, 91, 109, 108, 115, 78, 42, 1, 103, 1, 37, 21, 5, 21, 99, 0, 0, 0, 99, 89, 99, 99, 7, 7, 7, 7, 13, 11, 8, 0, 88, 0, 3, 19, 2, 20, 19, 5, 5, 69, 47, 98, 0, 0
INVAR-1, Run: 029, P, 1, 0, 0, 2, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 80, 0, 106, 102, 98, 104, 104, 111, 67, 51, 1, 80, 1, 44, 30, 9, 19, 98, 0, 0, 0, 96, 54, 92, 90, 13, 13, 11, 11, 8, 8, 18, 0, 54, 0, 9, 21, 0, 21, 21, 9, 9, 58, 39, 108, 1, 1
INVAR-1, Run: 030, P, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 105, 0, 76, 65, 65, 91, 91, 68, 43, 72, 1, 105, 1, 25, 35, 6, 12, 99, 0, 0, 0, 97, 94, 110, 108, 5, 5, 2, 2, 3, 3, 10, 0, 94, 0, 4, 37, 0, 37, 37, 6, 6, 87, 75, 76, 0, 0
