Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B
INVAR-6, Run: 048, F, 0, 179, 0, 0, 0, 0, 362, 95, 362, 0, 1
INVAR-6, Run: 049, F, 0, 543, 0, 0, 0, 96, 96, 0, 0, 1, 1
INVAR-6, Run: 050, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 051, F, 0, 322, 0, 0, 0, 0, 219, 95, 219, 0, 1
INVAR-6, Run: 052, F, 0, 327, 0, 0, 0, 0, 216, 96, 216, 0, 1
INVAR-6, Run: 053, F, 0, 553, 0, 0, 0, 101, 101, 0, 0, 1, 1
INVAR-6, Run: 054, F, 0, 99, 0, 0, 0, 0, 450, 99, 450, 0, 1
INVAR-6, Run: 055, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 056, F, 0, 210, 0, 0, 0, 0, 337, 98, 337, 0, 1
INVAR-6, Run: 057, F, 0, 444, 0, 0, 0, 0, 99, 96, 99, 0, 1
INVAR-6, Run: 058, F, 0, 535, 0, 0, 0, 92, 92, 0, 0, 1, 1
INVAR-6, Run: 059, F, 0, 494, 0, 0, 0, 0, 47, 95, 47, 0, 1
INVAR-6, Run: 060, F, 0, 75, 0, 0, 0, 0, 470, 97, 470, 0, 1
INVAR-6, Run: 061, F, 0, 309, 0, 0, 0, 0, 236, 97, 236, 0, 1
INVAR-6, Run: 062, F, 0, 266, 0, 0, 0, 0, 271, 93, 271, 0, 1
INVAR-6, Run: 063, F, 0, 545, 0, 0, 0, 97, 97, 0, 0, 1, 1
INVAR-6, Run: 064, F, 0, 195, 0, 0, 0, 0, 346, 95, 346, 0, 1
INVAR-6, Run: 065, F, 0, 57, 0, 0, 0, 0, 488, 97, 488, 0, 1
INVAR-6, Run: 066, F, 0, 8, 0, 0, 0, 0, 539, 98, 539, 0, 1
INVAR-6, Run: 067, F, 0, 51, 0, 0, 0, 0, 494, 97, 494, 0, 1
INVAR-6, Run: 068, F, 0, 547, 0, 0, 0, 98, 98, 0, 0, 1, 1
INVAR-6, Run: 069, F, 0, 519, 0, 0, 0, 4, 26, 91, 22, 0, 1
INVAR-6, Run: 070, F, 0, 535, 0, 0, 0, 92, 92, 0, 0, 1, 1
INVAR-6, Run: 071, F, 0, 539, 0, 0, 0, 94, 94, 0, 0, 1, 1
INVAR-6, Run: 072, F, 0, 539, 0, 0, 0, 94, 94, 0, 0, 1, 1
INVAR-6, Run: 073, F, 0, 541, 0, 0, 0, 95, 95, 0, 0, 1, 1
INVAR-6, Run: 074, F, 0, 206, 0, 0, 0, 0, 351, 103, 351, 0, 1
