Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 059, F, 0, 0, 0, 0, 0, 9, 0, 30, 1, 24, 0, 39, 18, 17, 121, 9, 6, 2, 9, 18, 27, 26, 151
INVAR-1, Run: 060, F, 0, 0, 0, 0, 0, 9, 0, 28, 1, 26, 0, 37, 18, 8, 105, 9, 8, 0, 9, 18, 27, 17, 133
INVAR-1, Run: 061, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0, 13, 18, 10, 93, 9, 5, 3, 9, 18, 27, 19, 97
INVAR-1, Run: 062, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0, 10, 18, 22, 90, 9, 4, 4, 9, 18, 27, 31, 91
INVAR-1, Run: 063, F, 0, 0, 0, 0, 0, 9, 0, 4, 1, 50, 0, 13, 18, 8, 65, 9, 6, 2, 9, 18, 27, 17, 69
INVAR-1, Run: 064, F, 0, 0, 0, 0, 0, 9, 0, 7, 1, 47, 0, 16, 18, 18, 128, 9, 6, 2, 9, 18, 27, 27, 135
INVAR-1, Run: 065, F, 0, 0, 0, 0, 0, 9, 0, 32, 1, 22, 0, 41, 18, 17, 86, 9, 4, 4, 9, 18, 27, 26, 118
INVAR-1, Run: 066, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0, 17, 18, 14, 94, 9, 6, 2, 9, 18, 27, 23, 102
INVAR-1, Run: 067, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0, 17, 18, 14, 99, 9, 4, 4, 9, 18, 27, 23, 107
INVAR-1, Run: 068, F, 0, 0, 0, 0, 0, 9, 0, 14, 1, 40, 0, 23, 18, 23, 133, 9, 7, 1, 9, 18, 27, 32, 147
INVAR-1, Run: 069, F, 0, 0, 0, 0, 0, 9, 0, 33, 1, 21, 0, 42, 18, 17, 61, 9, 6, 2, 9, 18, 27, 26, 94
INVAR-1, Run: 070, F, 0, 0, 0, 0, 0, 9, 0, 30, 1, 24, 0, 39, 18, 15, 86, 9, 6, 2, 9, 18, 27, 24, 116
