Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B
3, Run: 073, P, 0, 0, 0, 0, 0, 0, 0, 106, 1, 386, 0
3, Run: 074, P, 0, 0, 0, 0, 0, 0, 0, 83, 1, 409, 0
3, Run: 075, P, 0, 0, 0, 0, 0, 0, 0, 111, 1, 381, 0
3, Run: 076, P, 0, 0, 0, 0, 0, 0, 0, 183, 1, 309, 0
3, Run: 077, P, 0, 0, 0, 0, 0, 0, 0, 165, 1, 327, 0
3, Run: 078, P, 0, 0, 0, 0, 0, 0, 0, 158, 1, 334, 0
3, Run: 079, P, 0, 0, 0, 0, 0, 0, 0, 87, 1, 405, 0
3, Run: 080, P, 0, 0, 0, 0, 0, 0, 0, 78, 1, 414, 0
3, Run: 081, P, 0, 0, 0, 0, 0, 0, 0, 160, 1, 332, 0
3, Run: 082, P, 0, 0, 0, 0, 0, 0, 0, 82, 1, 410, 0
3, Run: 083, P, 0, 0, 0, 0, 0, 0, 0, 122, 1, 370, 0
3, Run: 084, P, 0, 0, 0, 0, 0, 0, 0, 112, 1, 380, 0
3, Run: 085, P, 0, 0, 0, 0, 0, 0, 0, 115, 1, 377, 0
3, Run: 086, P, 0, 0, 0, 0, 0, 0, 0, 154, 1, 338, 0
3, Run: 087, P, 0, 0, 0, 0, 0, 0, 0, 190, 1, 302, 0
3, Run: 088, P, 0, 0, 0, 0, 0, 0, 0, 150, 1, 342, 0
3, Run: 089, P, 0, 0, 0, 0, 0, 0, 0, 114, 1, 378, 0
3, Run: 090, P, 0, 0, 0, 0, 0, 0, 0, 111, 1, 381, 0
3, Run: 091, P, 0, 0, 0, 0, 0, 0, 0, 119, 1, 373, 0
3, Run: 092, P, 0, 0, 0, 0, 0, 0, 0, 117, 1, 375, 0
3, Run: 093, P, 0, 0, 0, 0, 0, 0, 0, 100, 1, 392, 0
3, Run: 094, P, 0, 0, 0, 0, 0, 0, 0, 141, 1, 351, 0
3, Run: 095, P, 0, 0, 0, 0, 0, 0, 0, 126, 1, 366, 0
3, Run: 096, P, 0, 0, 0, 0, 0, 0, 0, 161, 1, 331, 0
3, Run: 097, P, 0, 0, 0, 0, 0, 0, 0, 130, 1, 362, 0
3, Run: 098, P, 0, 0, 0, 0, 0, 0, 0, 104, 1, 388, 0
3, Run: 099, P, 0, 0, 0, 0, 0, 0, 0, 118, 1, 374, 0
3, Run: 100, P, 0, 0, 0, 0, 0, 0, 0, 118, 1, 374, 0
8, Run: 001, P, 0, 0, 0, 0, 0, 0, 0, 33, 1, 117, 0
8, Run: 002, P, 0, 0, 0, 0, 0, 0, 0, 28, 1, 122, 0
8, Run: 003, P, 0, 0, 0, 0, 0, 0, 0, 30, 1, 120, 0
8, Run: 004, P, 0, 0, 0, 0, 0, 0, 0, 34, 1, 116, 0
8, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 67, 1, 83, 0
8, Run: 006, P, 0, 0, 0, 0, 0, 0, 0, 34, 1, 116, 0
8, Run: 007, P, 0, 0, 0, 0, 0, 0, 0, 50, 1, 100, 0
8, Run: 008, P, 0, 0, 0, 0, 0, 0, 0, 48, 1, 102, 0
8, Run: 009, P, 0, 0, 0, 0, 0, 0, 0, 26, 1, 124, 0
8, Run: 010, P, 0, 0, 0, 0, 0, 0, 0, 23, 1, 127, 0
8, Run: 011, P, 0, 0, 0, 0, 0, 0, 0, 42, 1, 108, 0
8, Run: 012, P, 0, 0, 0, 0, 0, 0, 0, 22, 1, 128, 0
8, Run: 013, P, 0, 0, 0, 0, 0, 0, 0, 36, 1, 114, 0
8, Run: 014, P, 0, 0, 0, 0, 0, 0, 0, 26, 1, 124, 0
8, Run: 015, P, 0, 0, 0, 0, 0, 0, 0, 18, 1, 132, 0
8, Run: 016, P, 0, 0, 0, 0, 0, 0, 0, 39, 1, 111, 0
8, Run: 017, P, 0, 0, 0, 0, 0, 0, 0, 27, 1, 123, 0
8, Run: 018, P, 0, 0, 0, 0, 0, 0, 0, 37, 1, 113, 0
8, Run: 019, P, 0, 0, 0, 0, 0, 0, 0, 44, 1, 106, 0
8, Run: 020, P, 0, 0, 0, 0, 0, 0, 0, 27, 1, 123, 0
8, Run: 021, P, 0, 0, 0, 0, 0, 0, 0, 29, 1, 121, 0
8, Run: 022, P, 0, 0, 0, 0, 0, 0, 0, 28, 1, 122, 0
8, Run: 023, P, 0, 0, 0, 0, 0, 0, 0, 22, 1, 128, 0
8, Run: 024, P, 0, 0, 0, 0, 0, 0, 0, 44, 1, 106, 0
8, Run: 025, P, 0, 0, 0, 0, 0, 0, 0, 37, 1, 113, 0
8, Run: 026, P, 0, 0, 0, 0, 0, 0, 0, 28, 1, 122, 0
8, Run: 027, P, 0, 0, 0, 0, 0, 0, 0, 62, 1, 88, 0
8, Run: 028, P, 0, 0, 0, 0, 0, 0, 0, 20, 1, 130, 0
8, Run: 029, P, 0, 0, 0, 0, 0, 0, 0, 24, 1, 126, 0
8, Run: 030, P, 0, 0, 0, 0, 0, 0, 0, 77, 1, 73, 0
8, Run: 031, P, 0, 0, 0, 0, 0, 0, 0, 35, 1, 115, 0
