Input Number, Run_Number, Result@ 100, CO, X1, A, B, C, PO, D, Y, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 56, 18, 84, 8, 6, 84, 9, 6, 2, 8, 9, 18, 292, 146
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 19, 18, 109, 7, 7, 109, 9, 6, 2, 9, 9, 18, 58, 29
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 25, 18, 113, 7, 7, 113, 9, 6, 2, 9, 9, 18, 172, 86
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 31, 18, 65, 2, 2, 65, 9, 7, 1, 9, 9, 18, 160, 80
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 12, 18, 50, 0, 0, 50, 9, 2, 6, 9, 9, 18, 632, 316
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 62, 18, 122, 8, 6, 122, 9, 6, 2, 8, 9, 18, 54, 27
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 17, 18, 105, 6, 6, 105, 9, 4, 4, 9, 9, 18, 58, 29
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 13, 18, 84, 7, 5, 84, 9, 1, 7, 8, 9, 18, 50, 25
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 116, 18, 107, 5, 5, 107, 9, 4, 4, 9, 9, 18, 116, 58
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 22, 18, 52, 3, 3, 52, 9, 5, 3, 9, 9, 18, 56, 28
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 50, 18, 67, 2, 2, 67, 9, 6, 2, 9, 9, 18, 236, 118
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 47, 18, 161, 7, 5, 161, 9, 5, 3, 8, 9, 18, 764, 382
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 101, 18, 95, 7, 7, 95, 9, 6, 2, 9, 9, 18, 78, 39
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 268, 200, 5373, 68, 68, 5373, 100, 68, 31, 100, 100, 200, 5044, 2522
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 171, 200, 6530, 61, 61, 6530, 100, 68, 31, 100, 100, 200, 5220, 2610
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 345, 200, 4723, 65, 65, 4723, 100, 78, 21, 100, 100, 200, 4394, 2197
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 134, 200, 4935, 70, 70, 4935, 100, 70, 29, 100, 100, 200, 4856, 2428
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 132, 200, 4621, 67, 65, 4621, 100, 67, 32, 99, 100, 200, 5576, 2788
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 402, 200, 4207, 70, 70, 4207, 100, 70, 29, 100, 100, 200, 4146, 2073
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 303, 200, 6201, 69, 69, 6201, 100, 63, 36, 100, 100, 200, 4050, 2025
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 511, 200, 4879, 74, 74, 4879, 100, 68, 31, 100, 100, 200, 4150, 2075
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 249, 200, 5000, 75, 75, 5000, 100, 51, 48, 100, 100, 200, 4834, 2417
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 107, 200, 4617, 49, 49, 4617, 100, 59, 40, 100, 100, 200, 8574, 4287
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 419, 200, 5247, 67, 67, 5247, 100, 58, 41, 100, 100, 200, 6018, 3009
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 122, 200, 4493, 64, 62, 4493, 100, 71, 28, 99, 100, 200, 8474, 4237
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 495, 200, 5964, 70, 70, 5964, 100, 64, 35, 100, 100, 200, 6222, 3111
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 1707, 200, 4715, 53, 53, 4715, 100, 58, 41, 100, 100, 200, 3632, 1816
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 965, 200, 4999, 81, 81, 4999, 100, 62, 37, 100, 100, 200, 8814, 4407
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 194, 200, 4455, 57, 57, 4455, 100, 70, 29, 100, 100, 200, 7360, 3680
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 290, 200, 4818, 84, 84, 4818, 100, 52, 47, 100, 100, 200, 5138, 2569
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 1162, 200, 5578, 58, 58, 5578, 100, 61, 38, 100, 100, 200, 4574, 2287
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 163, 200, 4143, 62, 62, 4143, 100, 55, 44, 100, 100, 200, 4678, 2339
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 199, 200, 5715, 76, 74, 5715, 100, 66, 33, 99, 100, 200, 5818, 2909
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 639, 200, 5366, 63, 63, 5366, 100, 63, 36, 100, 100, 200, 4468, 2234
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 241, 200, 5243, 69, 67, 5243, 100, 65, 34, 99, 100, 200, 9994, 4997
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 573, 200, 6119, 66, 66, 6119, 100, 66, 33, 100, 100, 200, 6468, 3234
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 74, 200, 3856, 87, 85, 3856, 100, 49, 50, 99, 100, 200, 6598, 3299
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 748, 200, 4895, 77, 77, 4895, 100, 64, 35, 100, 100, 200, 8124, 4062
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 100, 200, 5160, 64, 64, 5160, 100, 58, 41, 100, 100, 200, 3072, 1536
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 107, 200, 4693, 52, 52, 4693, 100, 73, 26, 100, 100, 200, 4234, 2117
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 1238, 200, 4615, 79, 77, 4615, 100, 53, 46, 99, 100, 200, 4078, 2039
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 227, 200, 4919, 62, 62, 4919, 100, 60, 39, 100, 100, 200, 5266, 2633
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 498, 200, 5397, 64, 64, 5397, 100, 63, 36, 100, 100, 200, 4742, 2371
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 400, 200, 4224, 66, 66, 4224, 100, 63, 36, 100, 100, 200, 4570, 2285
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 677, 200, 3965, 69, 69, 3965, 100, 61, 38, 100, 100, 200, 4224, 2112
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 1050, 200, 4521, 64, 62, 4521, 100, 66, 33, 99, 100, 200, 4862, 2431
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 901, 200, 5025, 71, 71, 5025, 100, 64, 35, 100, 100, 200, 6088, 3044
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 149, 200, 4787, 78, 76, 4787, 100, 55, 44, 99, 100, 200, 4970, 2485
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 600, 2, 1, 2, 99, 0, 128, 200, 4859, 79, 77, 4859, 100, 63, 36, 99, 100, 200, 6076, 3038
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 1308, 200, 4393, 51, 51, 4393, 100, 60, 39, 100, 100, 200, 4156, 2078
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 1409, 200, 5132, 44, 44, 5132, 100, 68, 31, 100, 100, 200, 3840, 1920
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 344, 200, 4053, 63, 63, 4053, 100, 56, 43, 100, 100, 200, 5878, 2939
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 996, 200, 5955, 67, 67, 5955, 100, 57, 42, 100, 100, 200, 5298, 2649
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 600, 0, 1, 0, 100, 0, 284, 200, 5102, 75, 75, 5102, 100, 55, 44, 100, 100, 200, 5696, 2848
