Input Number, Run_Number, Result@ 100, H, B, PE, X1, M, PO, CE, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 034, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 20, 122, 9, 8, 6, 6, 18, 30, 26, 122
INVAR-1, Run: 035, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 20, 181, 9, 10, 4, 6, 18, 30, 26, 181
INVAR-1, Run: 036, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 8, 65, 9, 7, 5, 7, 18, 29, 15, 65
INVAR-1, Run: 037, F, 0, 0, 1, 0, 0, 0, 4, 4, 0, 0, 44, 10, 18, 19, 196, 9, 10, 8, 4, 18, 32, 23, 196
INVAR-1, Run: 038, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 34, 235, 9, 7, 7, 6, 18, 30, 40, 235
INVAR-1, Run: 039, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 16, 82, 9, 7, 9, 5, 18, 31, 21, 82
INVAR-1, Run: 040, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 11, 50, 9, 6, 6, 7, 18, 29, 18, 50
INVAR-1, Run: 041, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 20, 144, 9, 10, 6, 5, 18, 31, 25, 144
INVAR-1, Run: 042, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 8, 110, 9, 9, 7, 5, 18, 31, 13, 110
INVAR-1, Run: 043, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 8, 103, 9, 8, 8, 5, 18, 31, 13, 103
INVAR-1, Run: 044, F, 0, 0, 1, 0, 0, 0, 4, 4, 0, 0, 44, 10, 18, 15, 119, 9, 13, 5, 4, 18, 32, 19, 119
INVAR-1, Run: 045, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 17, 101, 9, 3, 9, 7, 18, 29, 24, 101
INVAR-1, Run: 046, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 16, 95, 9, 6, 8, 6, 18, 30, 22, 95
INVAR-1, Run: 047, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 11, 31, 9, 7, 7, 6, 18, 30, 17, 31
INVAR-1, Run: 048, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 15, 91, 9, 9, 3, 7, 18, 29, 22, 91
INVAR-1, Run: 049, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 17, 125, 9, 7, 9, 5, 18, 31, 22, 125
INVAR-1, Run: 050, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 20, 81, 9, 8, 2, 8, 18, 28, 28, 81
INVAR-1, Run: 051, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 10, 99, 9, 5, 9, 6, 18, 30, 16, 99
INVAR-1, Run: 052, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 28, 114, 9, 5, 9, 6, 18, 30, 34, 114
INVAR-1, Run: 053, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 10, 79, 9, 6, 6, 7, 18, 29, 17, 79
INVAR-1, Run: 054, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 16, 71, 9, 4, 6, 8, 18, 28, 24, 71
INVAR-1, Run: 055, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 7, 106, 9, 5, 11, 5, 18, 31, 12, 106
INVAR-1, Run: 056, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 18, 101, 9, 7, 7, 6, 18, 30, 24, 101
INVAR-1, Run: 057, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 16, 136, 9, 10, 2, 7, 18, 29, 23, 136
INVAR-1, Run: 058, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 13, 181, 9, 13, 3, 5, 18, 31, 18, 181
INVAR-1, Run: 059, F, 0, 0, 1, 0, 0, 0, 5, 5, 0, 0, 46, 8, 18, 16, 98, 9, 10, 6, 5, 18, 31, 21, 98
INVAR-1, Run: 060, F, 0, 0, 1, 0, 0, 0, 8, 8, 0, 0, 52, 2, 18, 19, 67, 9, 4, 6, 8, 18, 28, 27, 67
INVAR-1, Run: 061, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 18, 127, 9, 6, 6, 7, 18, 29, 25, 127
INVAR-1, Run: 062, F, 0, 0, 1, 0, 0, 0, 7, 7, 0, 0, 50, 4, 18, 13, 65, 9, 7, 5, 7, 18, 29, 20, 65
INVAR-1, Run: 063, F, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 48, 6, 18, 23, 96, 9, 7, 7, 6, 18, 30, 29, 96
